course,year,semester,raw_word,clean_word,en_word
a,2025,1,Corrupción,corrupcion,corruption
a,2025,1,insuficiencia,insuficiencia,insufficiency
a,2025,1,Desigualdad,desigualdad,inequality
a,2025,1,Desigualdad.,desigualdad,inequality
a,2025,1,Desempleo,desempleo,unemployment
a,2025,1,La Inflación,inflacion,inflation
a,2025,1,desempleo en jovenes,desempleo jovenes,young unemployment
a,2025,1,Desigualdad,desigualdad,inequality
a,2025,1,Canasta Familiar,canasta familiar,family basket
a,2025,1,corrupción,corrupcion,corruption
a,2025,1,desempleo.,desempleo,unemployment
a,2025,1,Educación,educacion,education
a,2025,1,El desempleo,desempleo,unemployment
a,2025,1,pobreza,pobreza,poverty
a,2025,1,Desigualdad,desigualdad,inequality
a,2025,1,Redistribución,redistribucion,redistribution
a,2025,1,RESILIENTE,resiliencia,resilience
a,2025,1,Mineria,mineria,mining
a,2025,1,informalidad laboral,informalidad laboral,labor informality
a,2025,1,Conflicto,conflicto,conflict
a,2025,1,Informalidad,informalidad,informality
