course,year,semester,raw_word,clean_word,en_word
b,2025,1,Corrupción,corrupcion,corruption
b,2025,1,inflación,inflacion,inflation
b,2025,1,POLARIZACION,polarizacion,polarization
b,2025,1,corrupción,corrupcion,corruption
b,2025,1,CORRUPCION,corrupcion,corruption
b,2025,1,Educación,educacion,education
b,2025,1,La corrupcion,corrupcion,corruption
b,2025,1,legalidad,legalidad,legality
b,2025,1,Aumento,aumento,increase
b,2025,1,Desigualdad,desigualdad,inequality
b,2025,1,Educacion,educacion,education
b,2025,1,a tasa de intereses,tasa interes,interest rate
b,2025,1,Pobreza,pobreza,poverty
b,2025,1,Desempleo,desempleo,unemployment
b,2025,1,INFLACION,inflacion,inflation
b,2025,1,desigualdad,desigualdad,inequality
b,2025,1,CORUPCION,corrupcion,corruption
b,2025,1,Analfbetismo,analfabetismo,illiteracy
b,2025,1,Desempleo,desempleo,unemployment
b,2025,1,inflación,inflacion,inflation
b,2025,1,Desigualdad.,desigualdad,inequality
b,2025,1,Desigualdad,desigualdad,inequality
b,2025,1,educación,educacion,education
