course,year,semester,raw_word,clean_word,en_word
b,2025,2,La educación financiera,educacion financiera,financial education
b,2025,2,La pobreza,pobreza,poverty
b,2025,2,educacion financiera,educacion financiera,financial education
b,2025,2,Autosuficiencia,autosuficiencia,self -sufficiency
b,2025,2,AGROPECUARIA,agropecuaria,agricultural
b,2025,2,Desigualdad,desigualdad,inequality
b,2025,2,LA DESIGUALDAD,desigualdad,inequality
b,2025,2,La inflación económica.,inflacion,inflation
b,2025,2,Recursos,recursos,resources
b,2025,2,Educación,educacion,education
b,2025,2,Etica,etica,ethics
b,2025,2,Alimentación,alimentacion,feeding
b,2025,2,baja productividad,baja productividad,low productivity
b,2025,2,Corrupción,corrupcion,corruption
b,2025,2,desigualdad,desigualdad,inequality
b,2025,2,corrupción,corrupcion,corruption
b,2025,2,Es la desigualdad.,desigualdad,inequality
b,2025,2,La pobreza,pobreza,poverty
b,2025,2,Desigualdad,desigualdad,inequality
b,2025,2,Educación,educacion,education
b,2025,2,Exportación,exportacion,export
b,2025,2,Pobreza,pobreza,poverty
b,2025,2,LA POBREZA,pobreza,poverty
b,2025,2,desigualdad,desigualdad,inequality
b,2025,2,Narcotráfico en el País,narcotrafico,drug trafficking
b,2025,2,Ambiental,ambiental,environmental
b,2025,2,pobreza,pobreza,poverty
b,2025,2,Impuestos,impuestos,taxes
b,2025,2,Corrupción,corrupcion,corruption
b,2025,2,La desigualdad.,desigualdad,inequality
b,2025,2,Pobreza,pobreza,poverty
b,2025,2,desempleo,desempleo,unemployment
