"Respuesta número","¿Cuál es el problema más urgente que se debe abordar en la economía colombiana?  Responder con una única palabra."
1,"Informalidad Laboral"
2,Desempleo.
3,"INFORMALIDAD LABORAL"
4,Desempleo
5,desempleo
6,Inflación
7,"los impuestos"
8,Desempleo
9,Inversión
10,"oportunidades laborales"
11,Corrupción
12,"Los alimentos"
13,Desigualdad
14,Desigualdad
15,corrupción
16,desigualdad
17,Empleo
18,"La Desigualdad"
19,Desigualdad
20,"El desempleo"
21,empleo
22,"la desigualdad social"
23,Corrupción
24,desigualdad
25,desigualdad
26,"La deuda pública"
27,Conocimiento
28,EDUCACION
29,desigualdad
30,Desempleo
31,Desempleo
32,"deuda externa"
33,Desigualdad
