"Respuesta número","¿Cuál es el problema más urgente que se debe abordar en la economía colombiana?  Responder con una única palabra."
1,"La educación financiera"
2,"La pobreza"
3,"educacion financiera"
4,Autosuficiencia
5,AGROPECUARIA
6,Desigualdad
7,"LA DESIGUALDAD"
8,"La inflación económica."
9,Recursos
10,Educación
11,Etica
12,Alimentación
13,"baja productividad"
14,Corrupción
15,{
16,desigualdad
17,corrupción
18,"Es la desigualdad."
19,"La pobreza"
20,Desigualdad
21,Educación
22,Exportación
23,Pobreza
24,"LA POBREZA"
25,desigualdad
26,"Narcotráfico en el País"
27,Ambiental
28,pobreza
29,Impuestos
30,Corrupción
31,"La desigualdad."
32,Pobreza
33,desempleo
