nordemp	nordest	dpto	ciiu4	periodo	c4r1c1n	c4r1c2n	c4r2c1e	c4r2c2e	c4r1c1	c4r1c2	c4r1c3	c4r1c4	c4r4c1t	c4r4c2t	c4r1c3n	c4r1c4n	c4r2c3e	c4r2c4e	c4r2c1	c4r2c2	c4r2c3	c4r2c4	c4r4c3t	c4r4c4t	c4r1c5n	c4r1c6n	c4r2c5e	c4r2c6e	c4r3c1	c4r3c2	c4r3c3	c4r3c4	c4r4c5t	c4r4c6t	c4r1c7n	c4r1c8n	c4r2c7e	c4r2c8e	c4r4c1	c4r4c2	c4r4c3	c4r4c4	c4r4c7t	c4r4c8t	c4r6mn	c4r6hn	c4r6me	c4r6he	c4r6om	c4r6oh	c4r6dm	c4r6dh	c4r6tm	c4r6th	c4r1c9n	c4r1c10n	c4r2c9e	c4r2c10e	c4r5c1	c4r5c2	c4r5c3	c4r5c4	c4r4c9t	c4r4c10t	c3r2pt	c3r2c1	c3r2c2	c3r2c3	c3r3pt	c3r3c1	c3r3c2	c3r3c3	c3r4pt	c3r4c1	c3r4c2	c3r4c3	c3r5pt	c3r5c1	c3r5c2	c3r5c3	c3r6pt	c3r6c1	c3r6c2	c3r6c3	c3r7pt	c3r7c1	c3r7c2	c3r7c3	c3r8pt	c3r8c1	c3r8c2	c3r8c3	r1csap	r2csap	r3csap	r4csap	c3r9pt	c3r9c1	c3r9c2	c3r9c3	c3r10pt	c3r10c1	c3r10c2	c3r10c3	c3r44c2	c3r44c3	c3r40c2	c3r40c3	c3r14c1	c3r14c3	c3r41c1	c3r41c2	c3r41c3	c3r13c1	c3r13c2	c3r13c3	c3r45c2	c3r45c3	c3r15c1	c3r15c2	c3r15c3	c3r16c1	c3r16c2	c3r16c3	c3r17c1	c3r17c2	c3r17c3	c3r18c1	c3r18c2	c3r18c3	c3r21c1	c3r21c2	c3r21c3	c3r36c1	c3r36c2	c3r36c3	c3r22c1	c3r22c2	c3r22c3	c3r25c2	c3r25c3	C3R20C1	C3R20C2	C3R20C3	c3r23c1	c3r23c2	c3r23c3	c3r42c1	c3r42c2	c3r42c3	c3r24c1	c3r24c2	c3r24c3	c3r37c1	c3r37c2	c3r37c3	c3r38c2	c3r38c3	c3r26c2	c3r26c3	c3r31c2	c3r31c3	c3r27c1	c3r27c2	c3r27c3	c3r46c2	c3r46c3	c3r35c1	c3r35c2	c3r35c3	c5r1c1	c3r19c3	c5r1c2	c5r1c3	c5r1c5	c5r1c4	c5r1c7	c6r1c1	c6r1c3	c6r2c1	c6r2c3	c6r3c1	c6r3c3	c6r4c1	c6r4c3	c6r5c1	c6r5c3	c7r1c1	c7r5c1	c7r6c1	c7c4r1	c7c5r1	c7r8c1	c7r10c1	c7c2r2	c7c3r2	c7c4r2	c7c5r2	c7c6r2	c7c7r2	c7c1r3	c7c2r3	c7c3r3	c7c4r3	c7c5r3	c7c6r3	c7c7r3	c7c2r4	c7c3r4	c7c4r4	c7c5r4	c7c6r4	c7c7r4	c7c2r5	c7c7r5	c7c1r19	c7c2r19	c7c3r19	c7c4r19	c7c5r19	c7c6r19	c7c7r19	c7c3r6	c7c4r6	c7c5r6	c7c7r6	c7c2r7	c7c3r7	c7c4r7	c7c5r7	c7c6r7	c7c7r7	c7r1c2	c7r5c2	c7r6c2	c7c4r8	c7c5r8	c7r8c2	c7r10c2	c7r1c4	c7r5c4	c7r6c4	c7c4r10	c7c5r10	c7r8c4	c7r10c4	c7c2r11	c7c3r11	c7c4r11	c7c5r11	c7c6r11	c7c7r11	c7c1r12	c7c2r12	c7c3r12	c7c4r12	c7c5r12	c7c6r12	c7c7r12	c7c2r13	c7c3r13	c7c4r13	c7c5r13	c7c6r13	c7c7r13	c7r1c6	c7r5c6	c7r6c6	c7c4r14	c7c5r14	c7r8c6	c7r10c6	c7r5c7	c7r6c7	c7c4r15	c7c5r15	c7r8c7	c7r10c7	c7r16c1	c7r16c2	c7r16c3	c7r16c4	c7r16c5	c7r16c6	c7r16c7	c7r17c2	c7r17c3	c7r17c4	c7r17c5	c7r17c6	c7r17c7	c7r18c2	c7r18c3	c7r18c4	c7r18c5	c7r18c6	c7r18c7	c2r5CERT	PETROC	PETROV	PETROAUTO	PETROCO	DIESC	DIESV	DIESAUTO	DIESCO	FUELC	FUELV	FUELAUTO	FUELCO	GASOLC	GASOLV	GASOLAUTO	GASOLCO	KEROSC	KEROSV	KEROSAUTO	KEROSCO	GASNC	GASNV	GASNAUTO	GASNCO	GASPC	GASPV	GASPAUTO	GASPCO	CARBONMC	CARBONMV	CARBONMAUTO	CARBONMCO	CARBONCC	CARBONCV	CARBONCAUTO	CARBONCCO	CARBONVC	CARBONVV	CARBONVAUTO	CARBONVCO	LENAC	LENAV	LENAAUTO	LENACO	BAGAC	BAGAV	BAGAAUTO	BAGACO	CASCAC	CASCAV	CASCAAUTO	CASCACO	CASCAFC	CASCAFV	CASCAFAUTO	CASCAFCO	RESPALC	RESPALV	RESPALAUTO	RESPALCO	TOTALV	PRODBR2	PRODBIND	CONSMATE	CONSIN	CONSIN2	PRESSPER	SALARPER	PRESPYTE	SALPEYTE	EELEC	REMUTEMP	INVEBRTA	ACTIVFI	DEPRECIA	PERTOTAL	PERTEM3	PERSOCU	PERSOESC	PPERYTEM	PERAPREN	SALAPREN	VALAGRI	VALORCOM	VALORCX	PORCVT	VALORVEN
141160	140162	11	1081	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	8	3	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	8	3	12	4	0	75323	160895	236218	0	19902	39126	59028	0	0	0	0	0	10922	23330	34252	0	3013	6436	9449	0	0	0	0	0	0	0	0	0	0	0	0	0	9371	20066	29437	0	118531	249853	368384	2944	2944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47510	47510	95020	0	0	0	0	0	0	2405	2405	4810	0	1356	1356	0	3098	3098	2110	2110	0	0	0	377	126	503	569	0	569	0	5576	5576	0	17834	17834	0	0	0	0	0	0	0	22592	22592	9249	9249	50861	114800	165661	16892	13230	0	0	0	16892	0	0	32274	0	0	0	5086	0	1130	0	38490	0	0	54416	6460	14730	0	75606	0	38081	5742	0	0	43823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38081	5742	0	0	43823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92497	12202	14730	0	119429	0	8916	1790	1473	0	12179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8877	21083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21083	1316771	1316771	832745	85174	917919	59028	236218	102729	236218	16892	0	43823	119429	12179	16	0	16	16	16	0	0	398852	832834	0	0	1316771
141160	145341	11	1081	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	24	30	19	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	4	1	0	0	0	0	15	25	32	19	47	44	0	516219	703906	1220125	0	131911	181561	313472	0	0	0	0	0	80472	110076	190548	0	20648	28156	48804	0	0	0	0	0	0	0	0	0	9744	7772	17516	0	88924	158288	247212	0	847918	1189759	2037677	16256	16256	0	0	0	0	0	0	0	0	0	0	0	0	0	34460	34460	37088	0	37088	11028	0	11028	0	2650	2650	0	4583	4583	0	1356	1356	0	3150	3150	25461	25461	0	0	0	8003	4385	12388	3453	0	3453	0	36364	36364	0	67088	67088	12409	12409	0	0	0	0	0	205067	205067	33541	33541	59572	446770	506342	95385	72094	0	0	0	95385	0	282891	398858	0	0	15177	62859	30462	13966	328530	475683	0	0	294033	9773	106960	0	410766	0	55752	18845	3936	128500	207033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55752	18845	3936	128500	207033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349785	28618	110896	128500	617799	0	30968	3997	10941	2142	48048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31494	75722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75722	7598434	7598434	4074384	207388	4281772	313472	1220125	552824	1220125	95385	0	207033	617799	48048	91	0	86	86	86	5	17516	3316662	4070979	0	0	7598362
141162	140163	25	2212	2023	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	2	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	2	2	3	9	41083	118063	81698	240844	9955	29515	20425	59895	0	0	0	0	10045	28335	17062	55442	1868	5191	4087	11146	0	0	0	0	0	0	0	0	0	0	0	0	30620	10801	65480	106901	93571	191905	188752	474228	0	0	11897	11897	0	0	0	0	0	0	0	0	226312	226312	1900	43111	45011	223552	112919	336471	0	0	0	0	0	0	0	0	0	0	0	0	0	3240	3240	11280	11280	0	0	0	0	8206	8206	790	0	790	0	0	0	0	16796	16796	0	0	0	0	3373	3373	297620	98502	396122	844	844	523862	536480	1060342	148915	103072	0	0	0	148915	0	0	1519955	0	0	0	0	0	0	0	1519955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2549153	2549153	2093962	329314	2423276	59895	240844	126483	240844	148915	0	0	0	0	12	0	12	12	12	0	0	125877	2095703	0	0	2549153
141163	141099	76	2011	2023	0	0	0	0	0	0	0	0	0	0	4	4	0	0	2	29	5	11	11	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	4	5	0	0	2	29	5	12	11	46	268265	1039528	936563	2244356	69302	319162	187313	575777	0	0	0	0	53803	208485	170813	433101	13011	50416	46474	109901	0	0	0	0	0	0	0	0	12760	0	13920	26680	19067	73884	35690	128641	436208	1691475	1390773	3518456	0	0	0	0	0	0	7558038	3642887	11200925	0	0	0	1613	1613	21592	105902	127494	0	0	0	0	0	0	1659211	0	1659211	0	172028	172028	0	20221	20221	0	0	0	177791	177791	0	0	0	23548	151609	175157	0	0	0	0	0	0	0	385538	385538	49767	49767	33183	33183	4742842	4742842	10636097	253091	10889188	8879	8879	19898486	9745351	29643837	21539646	8851226	0	0	0	21539646	0	1274402	1257667	71748	34157	0	0	0	0	1346150	1291824	3273705	51702920	136068115	100603	0	0	191145343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240537	0	0	240537	0	0	0	0	0	0	0	0	240537	0	0	0	240537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3273705	51702920	136308652	100603	0	0	191385880	1270387	7954075	0	0	0	9224462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41736224	41773815	3285226	10555577	13840803	575777	2244356	1118779	2244356	21539646	0	240537	191385880	9224462	57	0	55	55	55	2	26680	27895421	3366410	0	0	41773815
141164	140166	66	1410	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	0	0	114000	114000	0	0	23611	23611	0	0	61763	61763	0	0	22714	22714	0	0	6985	6985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6777	6777	0	0	248642	248642	432620	432620	0	0	615263	615263	0	0	0	0	0	0	0	0	0	18505	18505	0	137830	137830	0	0	0	0	11294	11294	0	659	659	0	4933	4933	0	1226	1226	7659	7659	0	0	0	0	0	0	0	0	0	0	0	0	0	9996	9996	236	236	0	0	15624	15624	0	61362	61362	12636	12636	615263	714580	1329843	5890	5071	0	0	0	5890	0	0	0	0	0	0	102405	0	0	0	102405	0	270835	0	4877	0	59500	335212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154996	0	0	0	0	154996	1350	0	0	0	0	1350	0	115839	0	4877	0	59500	180216	3414	0	0	0	6942	10356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309557	1309557	484536	620334	1104870	23611	114000	71839	157234	5890	61763	-154996	180216	10356	4	3	1	1	4	0	0	204687	484536	0	0	1196277
141165	140165	66	3290	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23	9	2	9	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23	9	2	9	30	73953	405720	186120	665793	13312	73030	33501	119843	0	0	0	0	12893	70733	20948	104574	2958	16229	7445	26632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103116	565712	248014	916842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25200	25200	0	0	0	0	0	0	4784	0	4784	641	160	801	1224	2856	4080	0	0	0	63949	63949	0	0	0	12017	1335	13352	324931	0	324931	0	0	0	0	53890	53890	0	0	0	0	38056	38056	1470	36081	37551	155247	155247	345067	376774	721841	42720	37115	0	0	0	42720	0	0	0	0	0	0	0	0	0	0	0	0	3058425	167145	17307	6410	0	3249287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3058425	167145	17307	6410	0	3249287	0	78596	7973	4891	0	91460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173472	516947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516947	11926796	11926796	6424925	897659	7322584	119843	665793	251049	665793	42720	0	0	3249287	91460	39	0	39	39	39	0	0	4604212	6424925	0	0	11926796
141166	140167	8	2410	2023	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	6	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	40	0	0	3	40	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	40	1	6	4	52	184084	0	432450	616534	32870	0	83160	116030	0	0	0	0	33558	0	65862	99420	7974	0	17298	25272	0	0	0	0	0	1469397	0	1469397	0	0	0	0	9504	0	10052	19556	267990	1469397	608822	2346209	17635445	17635445	0	0	0	0	0	0	0	0	0	0	14021	14021	0	0	0	257817	0	257817	0	0	0	0	0	0	45210	10250	55460	0	34262	34262	0	8723	8723	23932	23932	0	0	0	1861935	17132	1879067	635123	0	635123	0	0	0	0	128848	128848	10362	10362	0	0	0	0	0	614906	614906	0	0	2800085	18497881	21297966	1020000	502632	0	0	0	1020000	0	154629	5454993	3092539	1515174	2747731	1992185	1038571	1215004	7033470	10177356	1425000	2949687	3916016	280818	612215	216979	9400715	0	860096	0	0	0	860096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860096	0	0	0	860096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425000	2949687	4776112	280818	612215	216979	10260811	137940	373415	20873	60979	21697	614904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176356	412906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412906	23777898	25355263	15661651	5185020	20846671	116030	616534	240722	616534	1020000	0	860096	10260811	614904	56	0	13	13	13	0	0	2931227	33137621	24229221	0	18870629
141166	140168	5	2599	2023	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	3	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	1	30	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	30	7	3	7	44	205078	0	455080	660158	59665	0	80895	140560	0	0	0	0	32050	0	72801	104851	16403	0	19563	35966	0	0	0	0	0	642510	18328	660838	0	0	0	0	8277	0	0	8277	321473	642510	646667	1610650	9628641	9628641	0	0	780979	780979	52757	0	52757	0	0	0	0	0	0	32498	32498	0	0	0	0	0	0	0	0	0	0	1917	1917	12660	0	12660	0	150135	150135	237664	237664	0	0	0	642501	8632	651133	468224	0	468224	0	0	0	0	493805	493805	21392	21392	0	0	0	0	0	0	0	0	0	1957121	10574684	12531805	871200	592178	0	0	0	871200	0	1345593	1081984	305253	57869	1038738	539583	3269914	2949306	5959498	4628742	1200000	3216334	2610677	93606	204071	0	7324688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200000	3216334	2610677	93606	204071	0	7324688	149646	263409	6957	20326	0	440338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47494641	47742025	21641003	3139052	24780055	140560	660158	281377	660158	871200	0	0	7324688	440338	51	0	20	20	20	0	0	22714586	16280028	0	0	57548740
141167	140169	85	1031	2023	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	13	7	11	9	34	4	32	0	0	1	28	2	5	7	65	0	0	0	0	0	9	0	0	0	9	2	1	0	0	0	0	2	1	4	2	8	43	0	0	1	50	11	17	20	110	581915	487871	1090534	2160321	128346	107332	233345	469022	936991	793366	197901	1928258	282684	216290	212252	711226	106559	89547	75997	272103	0	0	4666	4666	5938	318132	18966	343035	37544	0	29577	67120	64108	60403	190726	315237	2350248	2248504	2096056	6694808	696546	696546	0	0	0	0	0	69490	69490	0	0	0	4415056	4415056	364881	1320611	1685492	2424	76972	79396	177929	5794	183723	359815	98037	457852	9906	8048	17954	9354	69996	79350	0	15922	15922	1052838	1052838	0	0	0	4366488	543211	4909699	2323426	0	2323426	0	0	0	0	1374471	1374471	15216	15216	0	0	2736122	2736122	4826939	2613183	7440122	464260	464260	12441162	15575774	28016936	2175606	1414144	5833127	0	0	8008732	0	2577	3240	39354	34398	1507215	1552265	0	0	1549145	1589903	7119609	25308766	60740434	503311	716112	1103051	95491283	4760	2741777	79271	552091	152061	3529960	0	0	0	0	0	0	0	0	0	0	0	0	0	348982	348982	0	0	0	0	0	0	0	415270	1412	57577	474259	443253	1287156	0	0	0	1730409	0	796995	4444202	80683	609668	152061	6083610	0	0	0	0	0	0	0	0	17041	14222	2518	0	33780	0	0	0	0	0	19835	19835	0	0	0	0	18512	18512	7119609	26105761	65167596	569772	1323263	1235277	101521278	858300	13353901	148053	112022	178857	14651133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49860	457313	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33657	403011	0	0	860323	221224280	221229236	110792614	10897764	121690378	469022	2160321	2035494	3510102	8008732	1928258	6063775	101521278	14651133	130	72	43	43	115	5	67120	99533902	111908069	0	33570613	225352149
141168	140170	70	3290	2023	0	0	0	0	0	0	0	0	0	0	2	12	0	0	2	61	5	10	9	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	3	4	6	16	0	0	0	0	0	3	0	0	0	3	2	12	0	0	5	76	8	14	15	102	1187402	3717982	747091	5652476	529867	1347205	220329	2097401	0	0	0	0	284500	827752	164649	1276901	63985	166885	44040	274910	0	0	0	0	0	209626	168790	378416	0	61480	4640	66120	4827	7265	17486	29578	2070582	6338195	1367025	9775801	0	0	0	0	0	0	0	94120	94120	0	0	0	1099151	1099151	82649	405462	488111	0	195852	195852	61074	117492	178566	0	95551	95551	161609	417517	579126	604	20510	21114	0	83098	83098	113115	113115	0	0	0	5258613	977498	6236111	0	0	0	0	0	0	0	143381	143381	27746	27746	11745	11745	701229	701229	657383	3615235	4272618	24892	24892	6221932	8143595	14365527	7615527	3451070	18237141	714233	335449	25138434	0	4195952	5688537	558994	744317	2995793	3281414	340612	335100	8091351	10049367	6463973	4466973	40427553	177183	896009	984002	53415693	0	40376	717	246	0	41339	0	0	0	0	0	119000	119000	2260784	0	0	0	0	2260784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32047	0	0	0	32047	0	2260784	72424	717	246	119000	2453170	0	0	0	0	0	0	0	0	3142	0	0	0	3142	0	0	0	0	0	55667	55667	0	0	0	0	24122	24122	6463973	7150223	51232198	177900	922534	1047335	66994163	229043	4470563	13246	35889	63879	4812620	0	0	6197	0	0	0	6197	122527	60366	0	0	0	182894	544994	10801927	0	26279	0	11373200	0	0	0	0	0	9232	88907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4734507	5758537	33	0	0	0	0	0	28368	9430642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15278087	124315145	123794373	25711310	24503332	50214642	2097401	5652476	3649212	5652476	25138434	0	2397503	66994163	4812620	117	0	92	92	92	4	66120	74100503	20289639	6872123	0	121808714
