entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"Colombia","COL",false,"2000","Bioenergy",false,0.5,1.17,12.79,,,,
"Colombia","COL",false,"2000","Coal",false,2.08,4.86,53.21,,,,
"Colombia","COL",false,"2000","Gas",false,8.25,19.27,211.05,,,,
"Colombia","COL",false,"2000","Hydro",false,31.75,74.16,812.23,,,,
"Colombia","COL",false,"2000","Nuclear",false,0,0,0,,,,
"Colombia","COL",false,"2000","Other fossil",false,0.22,0.51,5.63,,,,
"Colombia","COL",false,"2000","Other renewables",false,0,0,0,,,,
"Colombia","COL",false,"2000","Solar",false,0.01,0.02,0.26,,,,
"Colombia","COL",false,"2000","Total generation",true,42.81,100,1095.17,,,,
"Colombia","COL",false,"2000","Wind",false,0,0,0,,,,
"Colombia","COL",false,"2001","Bioenergy",false,0.5,1.16,12.59,0,0,-0.01,0
"Colombia","COL",false,"2001","Coal",false,2.23,5.17,56.16,0.15,7.21,0.31,3.78
"Colombia","COL",false,"2001","Gas",false,8.69,20.14,218.84,0.44,5.33,0.87,11.08
"Colombia","COL",false,"2001","Hydro",false,31.48,72.97,792.76,-0.27,-0.85,-1.19,-6.8
"Colombia","COL",false,"2001","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2001","Other fossil",false,0.23,0.53,5.79,0.01,4.55,0.02,0.25
"Colombia","COL",false,"2001","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2001","Solar",false,0.01,0.02,0.25,0,0,0,0
"Colombia","COL",false,"2001","Total generation",true,43.14,100,1086.4,0.33,0.77,0,8.31
"Colombia","COL",false,"2001","Wind",false,0,0,0,0,,0,0
"Colombia","COL",false,"2002","Bioenergy",false,0.49,1.1,12.15,-0.01,-2,-0.06,-0.25
"Colombia","COL",false,"2002","Coal",false,2.17,4.85,53.81,-0.06,-2.69,-0.32,-1.49
"Colombia","COL",false,"2002","Gas",false,8.18,18.3,202.85,-0.51,-5.87,-1.84,-12.65
"Colombia","COL",false,"2002","Hydro",false,33.63,75.22,833.98,2.15,6.83,2.25,53.32
"Colombia","COL",false,"2002","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2002","Other fossil",false,0.23,0.51,5.7,0,0,-0.02,0
"Colombia","COL",false,"2002","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2002","Solar",false,0.01,0.02,0.25,0,0,0,0
"Colombia","COL",false,"2002","Total generation",true,44.71,100,1108.75,1.57,3.64,0,38.93
"Colombia","COL",false,"2002","Wind",false,0,0,0,0,,0,0
