Region,Sub-region,Country,Year,Measure Names,Measure Values
Africa,Eastern Africa,Zimbabwe,2003,Rate,1.160052144
Africa,Eastern Africa,Zimbabwe,2003,Count,139
Africa,Eastern Africa,Zimbabwe,2004,Rate,1.647266910
Africa,Eastern Africa,Kenya,2004,Rate,0.659459013
Africa,Eastern Africa,Zimbabwe,2004,Count,198
Africa,Eastern Africa,Kenya,2004,Count,235
Africa,Eastern Africa,Zimbabwe,2005,Rate,0.356057532
Africa,Eastern Africa,Kenya,2005,Rate,0.415018198
Africa,Eastern Africa,Zimbabwe,2005,Count,43
Africa,Eastern Africa,Kenya,2005,Count,152
Africa,Eastern Africa,Zimbabwe,2006,Rate,0.740405578
Africa,Eastern Africa,Kenya,2006,Rate,0.584344249
Africa,Eastern Africa,Zimbabwe,2006,Count,90
Africa,Eastern Africa,Kenya,2006,Count,220
Africa,Eastern Africa,Zimbabwe,2007,Rate,2.088786480
Africa,Eastern Africa,Uganda,2007,Rate,0.183135711
Africa,Eastern Africa,Kenya,2007,Rate,0.446959936
Africa,Eastern Africa,Zimbabwe,2007,Count,256
Africa,Eastern Africa,Uganda,2007,Count,54
Africa,Eastern Africa,Kenya,2007,Count,173
Africa,Eastern Africa,Zimbabwe,2008,Rate,1.793280047
Africa,Eastern Africa,Uganda,2008,Rate,0.213592852
Africa,Eastern Africa,Rwanda,2008,Rate,0.083993628
Africa,Eastern Africa,Kenya,2008,Rate,0.183454053
Africa,Eastern Africa,Burundi,2008,Rate,0.295344485
Africa,Eastern Africa,Zimbabwe,2008,Count,222
Africa,Eastern Africa,Uganda,2008,Count,65
Africa,Eastern Africa,Rwanda,2008,Count,8
Africa,Eastern Africa,Kenya,2008,Count,73
Africa,Eastern Africa,Burundi,2008,Count,24
Africa,Eastern Africa,Uganda,2009,Rate,0.643084769
Africa,Eastern Africa,Rwanda,2009,Rate,0.081776429
Africa,Eastern Africa,Mauritius,2009,Rate,2.733127759
Africa,Eastern Africa,Kenya,2009,Rate,0.232263617
Africa,Eastern Africa,Burundi,2009,Rate,0.369150410
Africa,Eastern Africa,Uganda,2009,Count,202
Africa,Eastern Africa,Rwanda,2009,Count,8
Africa,Eastern Africa,Mauritius,2009,Count,34
Africa,Eastern Africa,Kenya,2009,Count,95
Africa,Eastern Africa,Burundi,2009,Count,31
Africa,Eastern Africa,United Republic of Tanzania,2010,Rate,0
Africa,Eastern Africa,Uganda,2010,Rate,0.462560935
Africa,Eastern Africa,Rwanda,2010,Rate,0.119529770
Africa,Eastern Africa,Mauritius,2010,Rate,2.804592801
Africa,Eastern Africa,Madagascar,2010,Rate,0
Africa,Eastern Africa,Kenya,2010,Rate,0.187957939
Africa,Eastern Africa,Burundi,2010,Rate,0.276637736
Africa,Eastern Africa,United Republic of Tanzania,2010,Count,0
Africa,Eastern Africa,Uganda,2010,Count,150
Africa,Eastern Africa,Rwanda,2010,Count,12
Africa,Eastern Africa,Mauritius,2010,Count,35
Africa,Eastern Africa,Madagascar,2010,Count,0
Africa,Eastern Africa,Kenya,2010,Count,79
Africa,Eastern Africa,Burundi,2010,Count,24
Africa,Eastern Africa,United Republic of Tanzania,2011,Rate,0
Africa,Eastern Africa,Uganda,2011,Rate,0.498853384
Africa,Eastern Africa,Rwanda,2011,Rate,0.116580349
Africa,Eastern Africa,Mauritius,2011,Rate,3.996566150
Africa,Eastern Africa,Madagascar,2011,Rate,0.004598976
Africa,Eastern Africa,Kenya,2011,Rate,0.127378888
Africa,Eastern Africa,Burundi,2011,Rate,0.546972307
Africa,Eastern Africa,United Republic of Tanzania,2011,Count,0
Africa,Eastern Africa,Uganda,2011,Count,167
Africa,Eastern Africa,Rwanda,2011,Count,12
Africa,Eastern Africa,Mauritius,2011,Count,50
Africa,Eastern Africa,Madagascar,2011,Count,1
Africa,Eastern Africa,Kenya,2011,Count,55
Africa,Eastern Africa,Burundi,2011,Count,49
Africa,Eastern Africa,United Republic of Tanzania,2012,Rate,0
Africa,Eastern Africa,Uganda,2012,Rate,0.381958812
Africa,Eastern Africa,Rwanda,2012,Rate,0.094789695
Africa,Eastern Africa,Madagascar,2012,Rate,0.004474946
Africa,Eastern Africa,Kenya,2012,Rate,0.169134260
Africa,Eastern Africa,Burundi,2012,Rate,0.529959360
Africa,Eastern Africa,United Republic of Tanzania,2012,Count,0
Africa,Eastern Africa,Uganda,2012,Count,132
Africa,Eastern Africa,Rwanda,2012,Count,10
Africa,Eastern Africa,Madagascar,2012,Count,1
Africa,Eastern Africa,Kenya,2012,Count,75
Africa,Eastern Africa,Burundi,2012,Count,49
Africa,Eastern Africa,United Republic of Tanzania,2013,Rate,0
Africa,Eastern Africa,Uganda,2013,Rate,0.932916313
Africa,Eastern Africa,Rwanda,2013,Rate,0.194236899
Africa,Eastern Africa,Madagascar,2013,Rate,0.026130970
Africa,Eastern Africa,Kenya,2013,Rate,0.129613385
Africa,Eastern Africa,Burundi,2013,Rate,0.607947212
Africa,Eastern Africa,United Republic of Tanzania,2013,Count,0
Africa,Eastern Africa,Uganda,2013,Count,333
Africa,Eastern Africa,Rwanda,2013,Count,21
Africa,Eastern Africa,Madagascar,2013,Count,6
Africa,Eastern Africa,Kenya,2013,Count,59
Africa,Eastern Africa,Burundi,2013,Count,58
Africa,Eastern Africa,United Republic of Tanzania,2014,Rate,0
Africa,Eastern Africa,Uganda,2014,Rate,0.604147268
Africa,Eastern Africa,Madagascar,2014,Rate,0.059347433
Africa,Eastern Africa,Kenya,2014,Rate,0.070663721
Africa,Eastern Africa,Burundi,2014,Rate,0.802494763
Africa,Eastern Africa,United Republic of Tanzania,2014,Count,0
Africa,Eastern Africa,Uganda,2014,Count,223
Africa,Eastern Africa,Madagascar,2014,Count,14
Africa,Eastern Africa,Kenya,2014,Count,33
Africa,Eastern Africa,Burundi,2014,Count,79
Africa,Eastern Africa,United Republic of Tanzania,2015,Rate,0
Africa,Eastern Africa,Madagascar,2015,Rate,0.045390623
Africa,Eastern Africa,Kenya,2015,Rate,0.229748985
Africa,Eastern Africa,United Republic of Tanzania,2015,Count,0
Africa,Eastern Africa,Madagascar,2015,Count,11
Africa,Eastern Africa,Kenya,2015,Count,110
Africa,Eastern Africa,Uganda,2016,Rate,2.365749397
Africa,Eastern Africa,Uganda,2016,Count,938
Africa,Eastern Africa,Kenya,2017,Rate,0.075665332
Africa,Eastern Africa,Kenya,2017,Count,38
Africa,Eastern Africa,Kenya,2018,Rate,0.021403872
Africa,Eastern Africa,Kenya,2018,Count,11
Africa,Middle Africa,Sao Tome and Principe,2007,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2007,Count,0
Africa,Middle Africa,Sao Tome and Principe,2008,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2008,Count,0
Africa,Middle Africa,Sao Tome and Principe,2009,Rate,0
Africa,Middle Africa,Sao Tome and Principe,2009,Count,0
Africa,Middle Africa,Sao Tome and Principe,2010,Rate,0
Africa,Middle Africa,Cameroon,2010,Rate,2.261415725
Africa,Middle Africa,Sao Tome and Principe,2010,Count,0
Africa,Middle Africa,Cameroon,2010,Count,460
Africa,Middle Africa,Sao Tome and Principe,2011,Rate,0
Africa,Middle Africa,Cameroon,2011,Rate,1.808059641
Africa,Middle Africa,Sao Tome and Principe,2011,Count,0
Africa,Middle Africa,Cameroon,2011,Count,378
Africa,Middle Africa,Cameroon,2012,Rate,2.476115031
Africa,Middle Africa,Cameroon,2012,Count,532
Africa,Middle Africa,Cameroon,2013,Rate,3.985994664
Africa,Middle Africa,Cameroon,2013,Count,880
Africa,Middle Africa,Cameroon,2014,Rate,1.891380112
Africa,Middle Africa,Cameroon,2014,Count,429
Africa,Middle Africa,Cameroon,2015,Rate,4.227761759
Africa,Middle Africa,Cameroon,2015,Count,985
Africa,Middle Africa,Cameroon,2016,Rate,2.390649718
Africa,Middle Africa,Cameroon,2016,Count,572
Africa,Middle Africa,Cameroon,2017,Rate,3.496692796
Africa,Middle Africa,Cameroon,2017,Count,859
Africa,Northern Africa,Morocco,2003,Rate,1.316192390
Africa,Northern Africa,Egypt,2003,Rate,0.021970145
Africa,Northern Africa,Algeria,2003,Rate,0.681871154
Africa,Northern Africa,Morocco,2003,Count,392
Africa,Northern Africa,Egypt,2003,Count,16
Africa,Northern Africa,Algeria,2003,Count,220
Africa,Northern Africa,Morocco,2004,Rate,1.135639146
Africa,Northern Africa,Egypt,2004,Rate,0.028312544
Africa,Northern Africa,Algeria,2004,Rate,0.455766904
Africa,Northern Africa,Morocco,2004,Count,342
Africa,Northern Africa,Egypt,2004,Count,21
Africa,Northern Africa,Algeria,2004,Count,149
Africa,Northern Africa,Morocco,2005,Rate,0.968624448
Africa,Northern Africa,Egypt,2005,Rate,0.023833616
Africa,Northern Africa,Algeria,2005,Rate,0.304678290
Africa,Northern Africa,Morocco,2005,Count,295
Africa,Northern Africa,Egypt,2005,Count,18
Africa,Northern Africa,Algeria,2005,Count,101
Africa,Northern Africa,Morocco,2006,Rate,0.857012358
Africa,Northern Africa,Egypt,2006,Rate,0.037724230
Africa,Northern Africa,Algeria,2006,Rate,0.897713832
Africa,Northern Africa,Morocco,2006,Count,264
Africa,Northern Africa,Egypt,2006,Count,29
Africa,Northern Africa,Algeria,2006,Count,302
Africa,Northern Africa,Morocco,2007,Rate,0.747665471
Africa,Northern Africa,Egypt,2007,Rate,0.046016905
Africa,Northern Africa,Algeria,2007,Rate,0.705359385
Africa,Northern Africa,Morocco,2007,Count,233
Africa,Northern Africa,Egypt,2007,Count,36
Africa,Northern Africa,Algeria,2007,Count,241
Africa,Northern Africa,Morocco,2008,Rate,0.688084813
Africa,Northern Africa,Egypt,2008,Rate,0.059018475
Africa,Northern Africa,Algeria,2008,Rate,0.590257583
Africa,Northern Africa,Morocco,2008,Count,217
Africa,Northern Africa,Egypt,2008,Count,47
Africa,Northern Africa,Algeria,2008,Count,205
Africa,Northern Africa,Morocco,2009,Rate,0.961505636
Africa,Northern Africa,Egypt,2009,Rate,0.086276183
Africa,Northern Africa,Algeria,2009,Rate,0.585839993
Africa,Northern Africa,Morocco,2009,Count,307
Africa,Northern Africa,Egypt,2009,Count,70
Africa,Northern Africa,Algeria,2009,Count,207
Africa,Northern Africa,Egypt,2010,Rate,0.112371443
Africa,Northern Africa,Algeria,2010,Rate,0.491974834
Africa,Northern Africa,Egypt,2010,Count,93
Africa,Northern Africa,Algeria,2010,Count,177
Africa,Northern Africa,Egypt,2011,Rate,0.322965127
Africa,Northern Africa,Algeria,2011,Rate,0.458247139
Africa,Northern Africa,Egypt,2011,Count,273
Africa,Northern Africa,Algeria,2011,Count,168
Africa,Northern Africa,Morocco,2012,Rate,1.672587909
Africa,Northern Africa,Algeria,2012,Rate,0.283544521
Africa,Northern Africa,Morocco,2012,Count,556
Africa,Northern Africa,Algeria,2012,Count,106
Africa,Northern Africa,Morocco,2013,Rate,2.888861009
Africa,Northern Africa,Algeria,2013,Rate,0.584685845
Africa,Northern Africa,Morocco,2013,Count,974
Africa,Northern Africa,Algeria,2013,Count,223
Africa,Northern Africa,Algeria,2014,Rate,0.863227510
Africa,Northern Africa,Algeria,2014,Count,336
Africa,Northern Africa,Morocco,2015,Rate,1.909783776
Africa,Northern Africa,Algeria,2015,Rate,1.301348519
Africa,Northern Africa,Morocco,2015,Count,662
Africa,Northern Africa,Algeria,2015,Count,517
Africa,Northern Africa,Morocco,2016,Rate,1.480373521
Africa,Northern Africa,Morocco,2016,Count,520
Africa,Northern Africa,Morocco,2017,Rate,2.147197710
Africa,Northern Africa,Morocco,2017,Count,764
Africa,Northern Africa,Morocco,2018,Rate,2.292591903
Africa,Northern Africa,Morocco,2018,Count,826
Africa,Southern Africa,Eswatini,2003,Rate,11.928087321
Africa,Southern Africa,Eswatini,2003,Count,122
Africa,Southern Africa,Eswatini,2004,Rate,9.354108549
Africa,Southern Africa,Eswatini,2004,Count,96
Africa,Southern Africa,Lesotho,2007,Rate,3.221056043
Africa,Southern Africa,Lesotho,2007,Count,64
Africa,Southern Africa,Lesotho,2008,Rate,2.012953355
Africa,Southern Africa,Lesotho,2008,Count,40
Africa,Southern Africa,Lesotho,2009,Rate,3.115366545
Africa,Southern Africa,Botswana,2009,Rate,0.153570908
Africa,Southern Africa,Lesotho,2009,Count,62
Africa,Southern Africa,Botswana,2009,Count,3
Africa,Southern Africa,Botswana,2010,Rate,0.150973325
Africa,Southern Africa,Botswana,2010,Count,3
Africa,Southern Africa,Botswana,2011,Rate,0.248088971
Africa,Southern Africa,Botswana,2011,Count,5
Africa,Southern Africa,South Africa,2014,Rate,8.602201005
Africa,Southern Africa,Botswana,2014,Rate,0.095757053
Africa,Southern Africa,South Africa,2014,Count,4692
Africa,Southern Africa,Botswana,2014,Count,2
Africa,Southern Africa,South Africa,2015,Rate,9.050963260
Africa,Southern Africa,South Africa,2015,Count,5013
Africa,Southern Africa,South Africa,2016,Rate,8.879574222
Africa,Southern Africa,South Africa,2016,Count,4991
Africa,Southern Africa,South Africa,2017,Rate,9.568538715
Africa,Southern Africa,South Africa,2017,Count,5455
Africa,Western Africa,Guinea,2003,Rate,0.159943389
Africa,Western Africa,Guinea,2003,Count,14
Africa,Western Africa,Guinea,2004,Rate,0.044814267
Africa,Western Africa,Guinea,2004,Count,4
Africa,Western Africa,Guinea,2005,Rate,0.175639176
Africa,Western Africa,Guinea,2005,Count,16
Africa,Western Africa,Guinea,2006,Rate,0
Africa,Western Africa,Guinea,2006,Count,0
Africa,Western Africa,Nigeria,2007,Rate,0.189285226
Africa,Western Africa,Guinea,2007,Rate,0.189112201
Africa,Western Africa,Nigeria,2007,Count,277
Africa,Western Africa,Guinea,2007,Count,18
Africa,Western Africa,Nigeria,2008,Rate,0.205630414
Africa,Western Africa,Guinea,2008,Rate,0.256705244
Africa,Western Africa,Nigeria,2008,Count,309
Africa,Western Africa,Guinea,2008,Count,25
Africa,Western Africa,Nigeria,2009,Rate,0.455532451
Africa,Western Africa,Nigeria,2009,Count,703
Africa,Western Africa,Nigeria,2010,Rate,0.465605742
Africa,Western Africa,Cabo Verde,2010,Rate,1.217918010
Africa,Western Africa,Nigeria,2010,Count,738
Africa,Western Africa,Cabo Verde,2010,Count,6
Africa,Western Africa,Cabo Verde,2011,Rate,1.403204920
Africa,Western Africa,Cabo Verde,2011,Count,7
Africa,Western Africa,Nigeria,2012,Rate,0.358789874
Africa,Western Africa,Cabo Verde,2012,Rate,4.354357623
Africa,Western Africa,Nigeria,2012,Count,600
Africa,Western Africa,Cabo Verde,2012,Count,22
Africa,Western Africa,Nigeria,2013,Rate,0.334175954
Africa,Western Africa,Guinea-Bissau,2013,Rate,1.456081842
Africa,Western Africa,Cabo Verde,2013,Rate,5.471528511
Africa,Western Africa,Nigeria,2013,Count,574
Africa,Western Africa,Guinea-Bissau,2013,Count,24
Africa,Western Africa,Cabo Verde,2013,Count,28
Africa,Western Africa,Guinea-Bissau,2014,Rate,3.604278574
Africa,Western Africa,Cabo Verde,2014,Rate,0.578842161
Africa,Western Africa,Guinea-Bissau,2014,Count,61
Africa,Western Africa,Cabo Verde,2014,Count,3
Africa,Western Africa,Senegal,2015,Rate,0.013718880
Africa,Western Africa,Guinea-Bissau,2015,Rate,0.402945648
Africa,Western Africa,Cabo Verde,2015,Rate,0.952852841
Africa,Western Africa,Senegal,2015,Count,2
Africa,Western Africa,Guinea-Bissau,2015,Count,7
Africa,Western Africa,Cabo Verde,2015,Count,5
Africa,Western Africa,Guinea-Bissau,2016,Rate,0.729339768
Africa,Western Africa,Cabo Verde,2016,Rate,4.330308393
Africa,Western Africa,Guinea-Bissau,2016,Count,13
Africa,Western Africa,Cabo Verde,2016,Count,23
Africa,Western Africa,Cabo Verde,2017,Rate,1.116281147
Africa,Western Africa,Benin,2017,Rate,4.742648671
Africa,Western Africa,Cabo Verde,2017,Count,6
Africa,Western Africa,Benin,2017,Count,530
Africa,Western Africa,Cabo Verde,2018,Rate,2.574646354
Africa,Western Africa,Cabo Verde,2018,Count,14
Americas,Caribbean,Trinidad and Tobago,2004,Rate,2.170349155
Americas,Caribbean,St. Vincent and the Grenadines,2004,Rate,2.764467379
Americas,Caribbean,Barbados,2004,Rate,4.359150402
Americas,Caribbean,Trinidad and Tobago,2004,Count,28
Americas,Caribbean,St. Vincent and the Grenadines,2004,Count,3
Americas,Caribbean,Barbados,2004,Count,12
Americas,Caribbean,Trinidad and Tobago,2005,Rate,4.473593074
Americas,Caribbean,St. Vincent and the Grenadines,2005,Rate,1.841332388
Americas,Caribbean,Jamaica,2005,Rate,1.131386861
Americas,Caribbean,Grenada,2005,Rate,0
Americas,Caribbean,Dominican Republic,2005,Rate,0.219846367
Americas,Caribbean,Barbados,2005,Rate,8.323682687
Americas,Caribbean,Bahamas,2005,Rate,7.388070728
Americas,Caribbean,Trinidad and Tobago,2005,Count,58
Americas,Caribbean,St. Vincent and the Grenadines,2005,Count,2
Americas,Caribbean,Jamaica,2005,Count,31
Americas,Caribbean,Grenada,2005,Count,0
Americas,Caribbean,Dominican Republic,2005,Count,20
Americas,Caribbean,Barbados,2005,Count,23
Americas,Caribbean,Bahamas,2005,Count,24
Americas,Caribbean,Trinidad and Tobago,2006,Rate,1.305130237
Americas,Caribbean,St. Vincent and the Grenadines,2006,Rate,2.762380067
Americas,Caribbean,Jamaica,2006,Rate,1.379603792
Americas,Caribbean,Grenada,2006,Rate,0
Americas,Caribbean,Dominican Republic,2006,Rate,0.151865543
Americas,Caribbean,Barbados,2006,Rate,5.045499595
Americas,Caribbean,Bahamas,2006,Rate,8.156311172
Americas,Caribbean,Trinidad and Tobago,2006,Count,17
Americas,Caribbean,St. Vincent and the Grenadines,2006,Count,3
Americas,Caribbean,Jamaica,2006,Count,38
Americas,Caribbean,Grenada,2006,Count,0
Americas,Caribbean,Dominican Republic,2006,Count,14
Americas,Caribbean,Barbados,2006,Count,14
Americas,Caribbean,Bahamas,2006,Count,27
Americas,Caribbean,Trinidad and Tobago,2007,Rate,1.069968283
Americas,Caribbean,St. Vincent and the Grenadines,2007,Rate,7.372184747
Americas,Caribbean,Jamaica,2007,Rate,1.372718803
Americas,Caribbean,Grenada,2007,Rate,0
Americas,Caribbean,Barbados,2007,Rate,6.099726948
Americas,Caribbean,Bahamas,2007,Rate,9.188261551
Americas,Caribbean,Trinidad and Tobago,2007,Count,14
Americas,Caribbean,St. Vincent and the Grenadines,2007,Count,8
Americas,Caribbean,Jamaica,2007,Count,38
Americas,Caribbean,Grenada,2007,Count,0
Americas,Caribbean,Barbados,2007,Count,17
Americas,Caribbean,Bahamas,2007,Count,31
Americas,Caribbean,Trinidad and Tobago,2008,Rate,1.293317580
Americas,Caribbean,St. Vincent and the Grenadines,2008,Rate,1.845001430
Americas,Caribbean,Jamaica,2008,Rate,1.545723397
Americas,Caribbean,Grenada,2008,Rate,0
Americas,Caribbean,Barbados,2008,Rate,4.286540976
Americas,Caribbean,Bahamas,2008,Rate,10.183891993
Americas,Caribbean,Trinidad and Tobago,2008,Count,17
Americas,Caribbean,St. Vincent and the Grenadines,2008,Count,2
Americas,Caribbean,Jamaica,2008,Count,43
Americas,Caribbean,Grenada,2008,Count,0
Americas,Caribbean,Barbados,2008,Count,12
Americas,Caribbean,Bahamas,2008,Count,35
Americas,Caribbean,Trinidad and Tobago,2009,Rate,0.605638036
Americas,Caribbean,St. Vincent and the Grenadines,2009,Rate,0.923420720
Americas,Caribbean,St. Kitts and Nevis,2009,Rate,4.115311015
Americas,Caribbean,Grenada,2009,Rate,0
Americas,Caribbean,Barbados,2009,Rate,6.403255700
Americas,Caribbean,Bahamas,2009,Rate,7.723112128
Americas,Caribbean,Trinidad and Tobago,2009,Count,8
Americas,Caribbean,St. Vincent and the Grenadines,2009,Count,1
Americas,Caribbean,St. Kitts and Nevis,2009,Count,2
Americas,Caribbean,Grenada,2009,Count,0
Americas,Caribbean,Barbados,2009,Count,18
Americas,Caribbean,Bahamas,2009,Count,27
Americas,Caribbean,Trinidad and Tobago,2010,Rate,0.527051284
Americas,Caribbean,St. Vincent and the Grenadines,2010,Rate,1.847404397
Americas,Caribbean,St. Kitts and Nevis,2010,Rate,4.080716574
Americas,Caribbean,Grenada,2010,Rate,0
Americas,Caribbean,Barbados,2010,Rate,4.253343305
Americas,Caribbean,Bahamas,2010,Rate,5.071336804
Americas,Caribbean,Trinidad and Tobago,2010,Count,7
Americas,Caribbean,St. Vincent and the Grenadines,2010,Count,2
Americas,Caribbean,St. Kitts and Nevis,2010,Count,2
Americas,Caribbean,Grenada,2010,Count,0
Americas,Caribbean,Barbados,2010,Count,12
Americas,Caribbean,Bahamas,2010,Count,18
Americas,Caribbean,Trinidad and Tobago,2011,Rate,0.224520648
Americas,Caribbean,St. Vincent and the Grenadines,2011,Rate,4.616165813
Americas,Caribbean,St. Kitts and Nevis,2011,Rate,6.067715707
Americas,Caribbean,Grenada,2011,Rate,0
Americas,Caribbean,Barbados,2011,Rate,4.593850601
Americas,Caribbean,Bahamas,2011,Rate,7.230597665
Americas,Caribbean,Trinidad and Tobago,2011,Count,3
Americas,Caribbean,St. Vincent and the Grenadines,2011,Count,5
Americas,Caribbean,St. Kitts and Nevis,2011,Count,3
Americas,Caribbean,Grenada,2011,Count,0
Americas,Caribbean,Barbados,2011,Count,13
Americas,Caribbean,Bahamas,2011,Count,26
Americas,Caribbean,Trinidad and Tobago,2012,Rate,0.223079177
Americas,Caribbean,St. Vincent and the Grenadines,2012,Rate,3.688845852
Americas,Caribbean,Jamaica,2012,Rate,0.387033941
Americas,Caribbean,Grenada,2012,Rate,0
Americas,Caribbean,Dominican Republic,2012,Rate,0.191321727
Americas,Caribbean,Barbados,2012,Rate,3.172387539
Americas,Caribbean,Bahamas,2012,Rate,7.701172504
Americas,Caribbean,Trinidad and Tobago,2012,Count,3
Americas,Caribbean,St. Vincent and the Grenadines,2012,Count,4
Americas,Caribbean,Jamaica,2012,Count,11
Americas,Caribbean,Grenada,2012,Count,0
Americas,Caribbean,Dominican Republic,2012,Count,19
Americas,Caribbean,Barbados,2012,Count,9
Americas,Caribbean,Bahamas,2012,Count,28
Americas,Caribbean,Trinidad and Tobago,2013,Rate,0.295484698
Americas,Caribbean,Jamaica,2013,Rate,0.734597074
Americas,Caribbean,Dominican Republic,2013,Rate,0.298560045
Americas,Caribbean,Barbados,2013,Rate,2.813988336
Americas,Caribbean,Trinidad and Tobago,2013,Count,4
Americas,Caribbean,Jamaica,2013,Count,21
Americas,Caribbean,Dominican Republic,2013,Count,30
Americas,Caribbean,Barbados,2013,Count,8
Americas,Caribbean,Trinidad and Tobago,2014,Rate,0.220209831
Americas,Caribbean,Jamaica,2014,Rate,0.939085685
Americas,Caribbean,Grenada,2014,Rate,0
Americas,Caribbean,Dominican Republic,2014,Rate,0.314800131
Americas,Caribbean,Dominica,2014,Rate,4.219943453
Americas,Caribbean,Barbados,2014,Rate,1.053278329
Americas,Caribbean,Bahamas,2014,Rate,3.777403035
Americas,Caribbean,Trinidad and Tobago,2014,Count,3
Americas,Caribbean,Jamaica,2014,Count,27
Americas,Caribbean,Grenada,2014,Count,0
Americas,Caribbean,Dominican Republic,2014,Count,32
Americas,Caribbean,Dominica,2014,Count,3
Americas,Caribbean,Barbados,2014,Count,3
Americas,Caribbean,Bahamas,2014,Count,14
Americas,Caribbean,Trinidad and Tobago,2015,Rate,0.291900065
Americas,Caribbean,Jamaica,2015,Rate,0.484257481
Americas,Caribbean,Grenada,2015,Rate,0
Americas,Caribbean,Dominican Republic,2015,Rate,0.223699068
Americas,Caribbean,Dominica,2015,Rate,2.809975413
Americas,Caribbean,Barbados,2015,Rate,4.906650965
Americas,Caribbean,Bahamas,2015,Rate,5.344735436
Americas,Caribbean,Antigua and Barbuda,2015,Rate,4.274828740
Americas,Caribbean,Trinidad and Tobago,2015,Count,4
