DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112214,2,,1,1,1,1,3,1,1,1,3,1,1,607.01497895
112215,2,,1,1,2,1,1,1,1,1,3,1,1,596.46624785
112216,2,,1,1,1,1,3,1,1,1,3,1,1,579.23630732
112217,2,,1,1,1,1,3,1,1,1,3,1,1,669.73880826
112218,2,,1,1,2,1,1,1,1,1,3,1,1,333.31888005
112219,2,,1,1,1,1,1,1,1,1,3,1,1,325.37230741
112220,2,,1,1,1,1,1,1,1,1,3,1,1,513.06731449
112221,2,,1,1,2,1,1,1,1,1,3,1,1,719.1844107
112222,2,,1,1,2,1,1,1,1,1,3,1,1,384.02253749
112223,2,,1,1,2,1,1,1,1,1,3,1,1,380.70761214
112224,2,,1,1,2,1,1,1,1,1,3,1,1,400.45966926
112225,2,,1,1,1,1,2,1,1,1,3,1,1,793.61718121
112226,2,,1,1,2,1,2,1,1,1,3,1,1,471.8238394
112227,2,,1,1,2,1,2,1,1,1,3,1,1,955.04739889
112228,2,,1,1,1,1,2,1,1,1,3,1,1,781.11070537
112229,2,,1,1,2,1,2,1,1,1,3,1,1,955.04739889
112230,2,,1,1,1,1,2,1,1,1,3,1,1,421.60179408
112231,2,,1,1,2,1,2,1,1,1,2,1,2,1067.9480118
112232,2,,1,1,1,1,1,1,2,1,3,1,1,1004.892877
112233,2,,1,1,2,1,1,1,1,1,3,1,1,524.63373754
112234,2,,1,1,1,1,1,2,2,1,3,1,1,868.2776888
112235,2,,1,1,1,1,1,2,2,1,3,1,1,1115.5237013
112236,2,,1,1,1,1,1,1,1,1,3,1,1,1221.7347376
112237,2,,1,1,1,1,1,1,1,1,3,1,1,500.60063051
112238,3,,1,1,1,1,2,1,1,1,1,1,1,713.02614229
112240,3,,1,1,2,1,3,1,1,1,3,1,1,1073.6159671
112241,3,,1,1,2,1,2,1,1,1,1,1,1,1177.9585181
