download,Country,Icons,Population Type,Question Number,Region,Sub-region,Year,Count,Number of Records,Rate,Refpopulation
,Albania,,Total population,3.5.2,Europe,Southern Europe,2005,2986,1,96.734168932,3086.81
,Albania,,Total population,3.5.2,Europe,Southern Europe,2006,2919,1,95.298073373,3063.021
,Albania,,Total population,3.5.2,Europe,Southern Europe,2007,2980,1,98.220398004,3033.993
,Albania,,Total population,3.5.2,Europe,Southern Europe,2008,3198,1,106.504749253,3002.683
,Albania,,Total population,3.5.2,Europe,Southern Europe,2009,3073,1,103.362076041,2973.044
,Albania,,Total population,3.5.2,Europe,Southern Europe,2010,3978,1,134.937614250,2948.029
,Albania,,Total population,3.5.2,Europe,Southern Europe,2011,4621,1,157.788650622,2928.601
,Albania,,Total population,3.5.2,Europe,Southern Europe,2012,5344,1,183.384801641,2914.091
,Albania,,Total population,3.5.2,Europe,Southern Europe,2013,5255,1,180.970511621,2903.788
,Albania,,Total population,3.5.2,Europe,Southern Europe,2014,7961,1,274.867270631,2896.307
,Albania,,Total population,3.5.2,Europe,Southern Europe,2015,7012,1,242.585773375,2890.524
,Albania,,Total population,3.5.2,Europe,Southern Europe,2016,5641,1,195.431930203,2886.427
,Albania,,Total population,3.5.2,Europe,Southern Europe,2017,5096,1,176.688675317,2884.169
,Albania,,Total population,3.5.2,Europe,Southern Europe,2018,5414,1,187.807758951,2882.735
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2006,55087,1,163.749542597,33641.01
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2007,48721,1,142.596741064,34166.98
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2008,52103,1,150.020443067,34730.6
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2009,52914,1,149.754286820,35333.88
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2010,51065,1,141.936129437,35977.45
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2011,53202,1,145.117049412,36661.44
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2012,39787,1,106.428168276,37383.9
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2013,54619,1,143.206081572,38140.14
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2014,46695,1,119.965501729,38923.69
,Algeria,,Total population,3.5.2,Africa,Northern Africa,2015,49571,1,124.775913826,39728.02
,Antigua and Barbuda,,Total population,3.5.2,Americas,Caribbean,2015,1215,1,1298.479229676,93.571
,Antigua and Barbuda,,Total population,3.5.2,Americas,Caribbean,2016,1015,1,1073.846804909,94.52
,Antigua and Barbuda,,Total population,3.5.2,Americas,Caribbean,2017,1066,1,1117.107676185,95.425
,Antigua and Barbuda,,Total population,3.5.2,Americas,Caribbean,2018,895,1,929.561080991,96.282
,Argentina,,Total population,3.5.2,Americas,South America,2005,303669,1,780.782209204,38892.92
,Argentina,,Total population,3.5.2,Americas,South America,2006,292041,1,743.298274263,39289.88
,Argentina,,Total population,3.5.2,Americas,South America,2007,264797,1,667.258840398,39684.3
,Argentina,,Total population,3.5.2,Americas,South America,2008,284205,1,709.091480673,40080.16
,Argentina,,Total population,3.5.2,Americas,South America,2014,287063,1,673.263987508,42637.51
,Argentina,,Total population,3.5.2,Americas,South America,2015,271921,1,631.267205288,43075.42
,Argentina,,Total population,3.5.2,Americas,South America,2016,270125,1,620.856265655,43508.46
,Argentina,,Total population,3.5.2,Americas,South America,2017,254681,1,579.648561559,43937.14
,Argentina,,Total population,3.5.2,Americas,South America,2018,277474,1,625.488744093,44361.15
,Armenia,,Total population,3.5.2,Asia,Western Asia,2003,2831,1,93.805770695,3017.938
,Armenia,,Total population,3.5.2,Asia,Western Asia,2004,2791,1,93.011165672,3000.715
,Armenia,,Total population,3.5.2,Asia,Western Asia,2005,2463,1,82.616019659,2981.262
,Armenia,,Total population,3.5.2,Asia,Western Asia,2006,3090,1,104.451845840,2958.301
,Armenia,,Total population,3.5.2,Asia,Western Asia,2007,2712,1,92.477191858,2932.615
,Armenia,,Total population,3.5.2,Asia,Western Asia,2008,3216,1,110.606115321,2907.615
,Armenia,,Total population,3.5.2,Asia,Western Asia,2009,3961,1,137.149275612,2888.094
,Armenia,,Total population,3.5.2,Asia,Western Asia,2010,3664,1,127.340985377,2877.314
,Armenia,,Total population,3.5.2,Asia,Western Asia,2011,4207,1,146.252297903,2876.536
,Armenia,,Total population,3.5.2,Asia,Western Asia,2012,4019,1,139.343514875,2884.239
,Armenia,,Total population,3.5.2,Asia,Western Asia,2013,4659,1,160.788626974,2897.593
,Armenia,,Total population,3.5.2,Asia,Western Asia,2014,4620,1,158.631892633,2912.403
,Armenia,,Total population,3.5.2,Asia,Western Asia,2015,5365,1,183.383756745,2925.559
,Armenia,,Total population,3.5.2,Asia,Western Asia,2016,5677,1,193.348630024,2936.147
,Armenia,,Total population,3.5.2,Asia,Western Asia,2017,5963,1,202.493285597,2944.789
,Armenia,,Total population,3.5.2,Asia,Western Asia,2018,7098,1,240.468252465,2951.741
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2003,624036,1,3179.937383307,19624.16
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2004,548778,1,2760.501316673,19879.65
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2005,518335,1,2568.743823884,20178.54
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2006,518734,1,2527.167585001,20526.3
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2007,491935,1,2351.917209225,20916.34
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2008,497053,1,2330.049891503,21332.29
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2009,478807,1,2201.325465442,21750.85
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2010,477265,1,2154.239124989,22154.69
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2011,501295,1,2224.221315112,22538
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2012,512352,1,2236.959127137,22903.95
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2013,546048,1,2348.097670556,23254.91
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2014,535556,1,2269.648417155,23596.43
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2015,561174,1,2344.819805704,23932.5
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2016,593369,1,2445.600676924,24262.71
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2017,562833,1,2289.370346176,24584.62
,Australia,,Total population,3.5.2,Oceania,Australia and New Zealand,2018,580739,1,2332.458435667,24898.15
,Austria,,Total population,3.5.2,Europe,Western Europe,2004,191663,1,2332.571886170,8216.81
,Austria,,Total population,3.5.2,Europe,Western Europe,2005,177025,1,2144.807101241,8253.656
,Austria,,Total population,3.5.2,Europe,Western Europe,2006,180143,1,2174.236558647,8285.345
,Austria,,Total population,3.5.2,Europe,Western Europe,2007,174366,1,2097.325496820,8313.731
,Austria,,Total population,3.5.2,Europe,Western Europe,2008,164959,1,1977.564054534,8341.525
,Austria,,Total population,3.5.2,Europe,Western Europe,2009,161394,1,1927.631583662,8372.658
,Austria,,Total population,3.5.2,Europe,Western Europe,2010,155857,1,1853.246364869,8409.945
,Austria,,Total population,3.5.2,Europe,Western Europe,2011,149614,1,1769.846599651,8453.501
,Austria,,Total population,3.5.2,Europe,Western Europe,2012,150965,1,1775.592991486,8502.23
,Austria,,Total population,3.5.2,Europe,Western Europe,2013,154002,1,1799.889693907,8556.191
