DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,2000,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4
IMF.STA:BOP(21.0.0),COL.CD_T.SC4.USD.A,OBS_VALUE,Colombia,Credit/Revenue,Postal and courier services,US dollar,Annual,Millions,10.1695090332031,,,,,10.0074382324219,,,,,8.09615917968749,,,,,7.55048852539062,,,,,7.43872216796875,,,,,7.37453259277344,,,,,7.17609008789062,,,,,7.66544360351563,,,,,6.53558557128906,,,,,6.52571459960937,,,,,6.88615185546876,,,,,10.4298986816406,,,,,10.4730146484375,,,,,9.51896484375,,,,,19.0347583007813,,,,,10.9979012451172,,,,,17.8481235351562,,,,,17.8882697753906,,,,,19.8942377929687,,,,,25.8019167480469,,,,,27.952552734375,,,,,38.9902746533583,,,,,62.78265326464,,,,,38.6941753398851,,,,,43.3339796582348,,,,
IMF.STA:BOP(21.0.0),COL.NETCD_T.D75_S1W.USD.A,OBS_VALUE,Colombia,Net (credits less debits),"Miscellaneous current transfers, Financial corporations, nonfinancial corporations, households, and NPISHs",US dollar,Annual,Millions,61.37749586145,,,,,-62.43035564,,,,,-5.37402907000005,,,,,-31.67252732,,,,,194.726422071358,,,,,338.160605618667,,,,,396.086857325531,,,,,540.853308932065,,,,,560.946509038074,,,,,402.298705693793,,,,,860.149874463794,,,,,983.359443768829,,,,,977.170459427861,,,,,636.468382680513,,,,,725.804998664699,,,,,949.268390359046,,,,,845.151468534004,,,,,936.019900775559,,,,,1229.81580618629,,,,,1681.08430252263,,,,,1726.14629136812,,,,,2102.36128193901,,,,,2554.24124510567,,,,,3246.66524045658,,,,,4001.34368797816,,,,
IMF.STA:BOP(21.0.0),COL.A_NFA_T.O_TLIMFOTR_S121.USD.Q,OBS_VALUE,Colombia,"Assets, Net acquisition of financial assets","Other investment, Credit and loans with the IMF: other than reserves, Central bank",US dollar,Quarterly,Millions,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.DB_T.P_F52_D4S.USD.Q,OBS_VALUE,Colombia,Debit/Expenditure,"Portfolio investment, Investment fund shares/units, Investment income on investment income attributable to shareholders, including income on if, including rie",US dollar,Quarterly,Millions,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.NNAFANIL_T.O_F89.USD.Q,OBS_VALUE,Colombia,"Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Other investment, Other accounts receivable/payable: excluding trade credits and advances",US dollar,Quarterly,Millions,,7.41986837,4.42782133061839,43.3581332909954,-4.49997966381508,,-15.2389927197148,4.96095632823763,26.2185527951731,-55.2146322695974,,-2.61093604665739,7.54454019712063,56.2904320990739,-35.8304726470404,,1.89846730309704,-0.199899782824104,37.0540723352844,-2.02646473717078,,0.55280684538132,-20.4407473364948,98.719531933289,24.0999182124351,,-47.5401067199729,-32.4548405897459,101.365859469995,21.3084369298834,,-68.9047072076414,32.9421817373497,60.155603512425,4.54259510966115,,-1.81697130000001,-59.56907828,86.47258345,2.97944451000001,,-31.75108987,8.06073982,1.59675914171211,69.16443293,,-72.54636688,8.39216405,-54.53950153,14.28607132,,-21.1118726,0.73950328,-0.80702229,21.0662608523694,,9.44840181,5.8577348078821,-7.47804512,135.904523203615,,12.5951910577916,-0.394965629999999,38.346417218,22.0119877507872,,-0.841278553805169,61.6899655398824,59.5076013651362,15.1949530344796,,-3.27263919328732,-8.20754125388281,6.92362451,53.16093192,,-3.165963,-14.80603977,14.8347944,34.4796549,,-13.5739399,2.1824758,8.9676612,13.0412003,,0.931885,3.234,0.0000012,13.1799988,,35.5584067,-0.0584067,1.775,0.000062,,33.0584315,-0.0784935,0,3.8655264,,-0.693123,3.3778036,0,0.0003135,,32.98,4.678,0,1.812,,50.8908,52.6908,0.0250000000000341,19.13,,20.889667,34.035,0,2.245,,53.498667,1.96,38.482,0
IMF.STA:BOP(21.0.0),COL.A_NFA_T.O_F2_S12R.USD.Q,OBS_VALUE,Colombia,"Assets, Net acquisition of financial assets","Other investment, Currency and deposits, Other financial corporations",US dollar,Quarterly,Millions,,-2.2722367498104,-0.184054463337509,2.88542315950005,4.00864075540611,,2.54330973975567,14.4432220192827,-9.1048881584007,-2.94336994637592,,-17.9004674192357,0.727404001811735,0.314471906335816,-0.526937952757784,,-3.05040296260226,28.2497831230902,-21.162911549043,-2.03721441275066,,-0.305505419931263,-2.22838199249086,-4.45760734698928,-0.624562584193524,,4.41183285554362,-0.535249742452902,2.52233161981256,-3.56514062339355,,1.25442616425812,14.0344337736661,-10.7160337505587,-2.52364662040291,,18.6552429320162,-13.3783581709476,0.728147393851527,-0.111753947117266,,-0.783355344322186,11.6070022863595,9.10773992010126,-18.4357956860068,,0.339279500898906,29.7586485704485,-18.6958003469052,-3.74826607043587,,31.8594214215273,-40.2722680392239,4.19414010496268,-12.8744748359004,,8.69993527683276,-3.70336464718204,77.4244543039898,-75.1290109114937,,1.77551007856022,59.3239603172218,0.150061860164124,25.1658431790086,,153.325699978431,173.941490513817,-157.836919731655,226.005521399037,,124.809800570994,-94.3665058504065,40.9315265203783,166.20782641862,,-200.030719535513,378.643858675983,-243.239203123376,148.952812916049,,102.407703642537,46.0945164318439,71.1667889558472,302.411000129921,,-152.637525091627,-267.737197311225,-50.734505430404,2.52498413632387,,307.612423763516,774.032718144586,-567.362024625015,-376.158100326238,,42.0566235362852,-188.663051616013,-374.728889516228,-93.4980529396579,,1473.2557546628,-913.672877442799,162.980701829644,-320.310325214282,,368.595922242364,33.8079352136153,-76.6671911736871,594.649697849267,,-247.059943562304,562.757310172781,76.4283164884568,356.519191238659,,-472.929583425215,-1114.27606709652,-269.599453122825,-14.2103193898097,,665.493878318956,164.745787014059,-181.186027235546,49.0229848727312
IMF.STA:BOP(21.0.0),COL.NETCD_T.P_F51_D42.USD.A,OBS_VALUE,Colombia,Net (credits less debits),"Portfolio investment, Equity, Investment income on dividends and withdrawals from income of quasi corporations (excluding rie and excluding IF)",US dollar,Annual,Millions,-18.24235791,,,,,-13.93039928,,,,,-11.7781690909091,,,,,-10.17344642,,,,,-19.82263167,,,,,-20.45964259,,,,,-24.29542275,,,,,-68.749010954,,,,,-58.4271966,,,,,-76.371065628,,,,,-204.496748904,,,,,-365.620157857,,,,,-649.451103895,,,,,-688.16027588,,,,,-680.281877130925,,,,,-280.093296363472,,,,,-131.60084372391,,,,,-192.737441218592,,,,,-214.220562324899,,,,,-214.372046796427,,,,,-176.519676531123,,,,,-103.854204957506,,,,,-123.775296680129,,,,,-192.084636301645,,,,,-187.354035275754,,,,
IMF.STA:BOP(21.0.0),COL.CD_T.P_F52_D4431.USD.A,OBS_VALUE,Colombia,Credit/Revenue,"Portfolio investment, Investment fund shares/units, Investment income, income on investment income attributable to investment fund shareholders, dividends (investment income)",US dollar,Annual,Millions,0,,,,,0,,,,,0,,,,,0,,,,,1.41811854568563,,,,,6.70368978192877,,,,,17.0852794008829,,,,,18.7914869521227,,,,,16.4436238307194,,,,,32.572917120081,,,,,69.8311859796963,,,,,103.550320857908,,,,,155.86364624251,,,,,159.527891629675,,,,,216.593217325463,,,,,252.996978990988,,,,,283.59132925353,,,,,397.766500868462,,,,,399.011747256604,,,,,500.967653002593,,,,,430.221073438128,,,,,542.986369364855,,,,,603.357498695882,,,,,600.938734588717,,,,,672.715231840823,,,,
IMF.STA:BOP(21.0.0),COL.L_NIL_T.O_F81_S122_L.USD.Q,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Other investment, Trade credits and advances, Deposit taking corporations, except the Central Bank, Long-term",US dollar,Quarterly,Millions,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.L_NIL_T.D_F5.USD.A,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Direct investment, Equity and investment fund shares",US dollar,Annual,Millions,2394.76910305856,,,,,2524.88526635739,,,,,2139.47695794946,,,,,1757.67146233813,,,,,3083.79587352058,,,,,10266.5473151376,,,,,6687.33531115878,,,,,9006.91439756293,,,,,10517.5557959327,,,,,7303.32617708445,,,,,7065.31961299413,,,,,12775.2386384496,,,,,13801.0391388914,,,,,13842.1090159816,,,,,13676.1317147497,,,,,9614.36064570919,,,,,9185.65140650264,,,,,11907.2670533898,,,,,9694.87338796859,,,,,11578.4631851483,,,,,4931.65273464931,,,,,7076.20616585571,,,,,14227.1399248059,,,,,13871.1041474138,,,,,12599.6996006572,,,,
