 ,Cuentas,Valor,Fecha(DD/MM/YYYY) (Year),estado_informacion,Periodicidad de la información (Trimestral / anual),Trimestre
1,        1 Cuenta corriente,845.40408305,2000,Dato revisado,Anual,
1,        1 Cuenta corriente,91.158597187,2000,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,77.494127473,2000,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,363.39414801,2000,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,313.35721038,2000,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1040.32792061,2001,Dato revisado,Anual,
1,        1 Cuenta corriente,-477.5388639,2001,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-290.9201972,2001,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-22.78288821,2001,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-249.0859713,2001,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1289.2026699,2002,Dato revisado,Anual,
1,        1 Cuenta corriente,-235.597903,2002,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-348.8176201,2002,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-305.3520707,2002,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-399.4350761,2002,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-912.004384376,2003,Dato revisado,Anual,
1,        1 Cuenta corriente,-605.4217853,2003,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-70.25799395,2003,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,59.359248274,2003,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-295.6838534,2003,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-774.55595089,2004,Dato revisado,Anual,
1,        1 Cuenta corriente,-591.1450785,2004,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-210.2244537,2004,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,119.29379592,2004,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-92.48021461,2004,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1947.7627682,2005,Dato revisado,Anual,
1,        1 Cuenta corriente,-551.512148,2005,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-285.2684884,2005,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-877.3426537,2005,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-233.6394781,2005,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-2991.0365236,2006,Dato revisado,Anual,
1,        1 Cuenta corriente,-669.3463609,2006,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-707.3868427,2006,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-775.0232527,2006,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-839.2800673,2006,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-6149.638988,2007,Dato revisado,Anual,
1,        1 Cuenta corriente,-2091.335051,2007,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1453.64285,2007,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1462.860163,2007,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1141.800924,2007,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-6497.285742,2008,Dato revisado,Anual,
1,        1 Cuenta corriente,-1312.293384,2008,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1157.350765,2008,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1661.079657,2008,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2366.561936,2008,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-4433.0109261,2009,Dato revisado,Anual,
1,        1 Cuenta corriente,-932.1790343,2009,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-760.9207378,2009,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1296.269764,2009,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1443.64139,2009,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-8583.014198,2010,Dato revisado,Anual,
1,        1 Cuenta corriente,-1260.82076,2010,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1405.755574,2010,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3210.349642,2010,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2706.088222,2010,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9734.501794,2011,Dato revisado,Anual,
1,        1 Cuenta corriente,-2002.965783,2011,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1726.111058,2011,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3030.84709,2011,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2974.577863,2011,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-11639.999051,2012,Dato revisado,Anual,
1,        1 Cuenta corriente,-1838.261659,2012,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3235.458985,2012,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3596.242539,2012,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2970.035868,2012,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-12365.129749,2013,Dato revisado,Anual,
1,        1 Cuenta corriente,-3439.15823,2013,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2205.944345,2013,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3596.219454,2013,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3123.80772,2013,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-19818.545633,2014,Dato revisado,Anual,
1,        1 Cuenta corriente,-4124.711526,2014,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4189.284516,2014,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-5033.405892,2014,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-6471.143699,2014,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-18702.229659,2015,Dato revisado,Anual,
1,        1 Cuenta corriente,-5291.929015,2015,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4426.374178,2015,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-5055.773282,2015,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3928.153184,2015,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-12586.561575,2016,Dato revisado,Anual,
1,        1 Cuenta corriente,-3524.790359,2016,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2794.416791,2016,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3601.142148,2016,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2666.212277,2016,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9924.365517,2017,Dato revisado,Anual,
1,        1 Cuenta corriente,-3489.521778,2017,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2425.556448,2017,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-2560.648281,2017,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1448.63901,2017,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-14040.960762,2018,Dato revisado,Anual,
1,        1 Cuenta corriente,-3022.552034,2018,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3470.930068,2018,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3406.018548,2018,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-4141.460112,2018,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-14808.667964,2019,Dato revisado,Anual,
1,        1 Cuenta corriente,-3820.355143,2019,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3218.923301,2019,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-4302.645383,2019,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3466.744137,2019,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9266.813487,2020,Dato revisado,Anual,
1,        1 Cuenta corriente,-2295.19974,2020,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1962.071266,2020,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-2012.545351,2020,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2996.99713,2020,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-17949.402975,2021,Dato revisado,Anual,
1,        1 Cuenta corriente,-3105.093315,2021,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4047.233445,2021,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-4834.834525,2021,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-5962.24169,2021,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-21224.184453,2022,Dato provisional,Anual,
1,        1 Cuenta corriente,-5483.191677,2022,Dato provisional,Trimestral,Q1
1,        1 Cuenta corriente,-4852.271253,2022,Dato provisional,Trimestral,Q2
