typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","2048620000",,"2048620000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","205","1. Transportation","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","587910000",,"587910000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","236","2. Travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1030400000",,"1030400000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","245","3. Communications services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","181720000",,"181720000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","253","5. Insurance services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","201620000",,"201620000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","260","6. Financial services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","73980000",,"73980000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","262","7. Computer and information services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3840000",,"3840000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","266","8. Royalties and license fees","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","5410000",,"5410000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","268","9. Other business services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","77620000",,"77620000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","287","10. Personal, cultural, and recreational services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","23330000",,"23330000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB","true","291","11. Government services, n.i.e.","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","64410000",,"64410000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","3307680000",,"3307680000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","205","1. Transportation","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1306640000",,"1306640000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","236","2. Travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","1059980000",,"1059980000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","245","3. Communications services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","122970000",,"122970000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","260","6. Financial services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","115030000",,"115030000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","262","7. Computer and information services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","45980000",,"45980000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","266","8. Royalties and license fees","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","73800000",,"73800000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","268","9. Other business services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","289330000",,"289330000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","287","10. Personal, cultural, and recreational services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","26830000",,"26830000","0","true","false",
"S","A","20000101","2000","52","2000","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB","true","291","11. Government services, n.i.e.","3","false","C00","TOTAL CPC","0","0","TOTAL MOT",,,,"false",,,,"false",,"false",,"false","65480000",,"65480000","0","true","false",
