CodigoSector,NombreSector,AsignacionVigente,TotalCompromisos,TotalObligaciones,TotalPagos,PorcentajeObligado,Anio
10,PLANEACION,1684558484360,737499999199.33,10464268145.45,10253543472.45,0.62,2024
11,INFORMACION ESTADISTICA,1629226285328,215473570840.99,15376258473.57,14157853907.11,0.94,2024
12,RELACIONES EXTERIORES,1775683623725,449874326831.57,154257636205.54,127138794378.32,8.69,2024
13,HACIENDA,52376075204163,2405394259730.96,1043423551485.65,1030910369203.99,1.99,2024
14,DEFENSA Y POLICIA,53594407613926,7835973130436.39,2968732147269.21,2442047810436.72,5.54,2024
15,INTERIOR,3920427065971,1757915875700.78,17726220016.04,15215354977.04,0.45,2024
16,"COMERCIO, INDUSTRIA Y TURISMO",1501147570957,320681869472.71,18723315315.78,15547546803.55,1.25,2024
17,ORGANISMOS DE CONTROL,4295635660645,481617863249.62,168083230549.43,166715396148.42,3.91,2024
18,EMPLEO PUBLICO,580497742886,152134974400.15,9030107597.34,8624614641.36,1.56,2024
19,CONGRESO DE LA REPUBLICA,1202466000000,131100246710.14,48367562784.05,36069049464,4.02,2024
2,EDUCACION,70448756151855,9297701062132.52,5417168964446.33,1528628349195.06,7.69,2024
20,PRESIDENCIA DE LA REPUBLICA,2634505036862,324271078725.9,20176615737.64,16884608565.66,0.77,2024
21,SERVICIO DE LA DEUDA PUBLICA NACIONAL,92347433153773,1675107262707.31,1623348484021.27,1275956472071.27,1.76,2024
22,REGISTRADURIA,1659752484055,115935059973.86,37126997485,36614217920,2.24,2024
24,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",397875451073,171463653556.2,845868597.3,806398263.3,0.21,2024
25,RAMA JUDICIAL,9215078896022,758761900795.65,295041780720.45,50328521400.68,3.2,2024
26,FISCALIA,6493302981816,477571929929.84,237941568217.43,227601656779.56,3.66,2024
27,JUSTICIA Y DEL DERECHO,5078385548615,1256316239633.46,120269670720.6,108764188007.86,2.37,2024
29,TRABAJO,44346472952781,952162769058.29,98880593313.58,18628626682.27,0.22,2024
3,AMBIENTE Y DESARROLLO SOSTENIBLE,2038550609310,355288544230.17,21485597313.31,18663482538.31,1.05,2024
30,INCLUSION SOCIAL Y RECONCILIACION,15192797461291,373692838496.17,14803631454.04,13843826496.84,0.1,2024
31,INTELIGENCIA,190585191002,22966398051.38,5567926157.15,5567926157.15,2.92,2024
32,DEPORTE Y RECREACION,1364340146323,17071430249.79,1316068151.71,34371015.71,0.1,2024
33,"VIVIENDA, CIUDAD Y TERRITORIO",9763642341949,2366063259273.16,4858721404.08,3477491855.08,0.05,2024
35,"SISTEMA INTEGRAL DE VERDAD, JUSTICIA, REPARACIÓN Y NO REPETICIÓN",873873069162,213516134291.06,27141102598,22893276201,3.11,2024
36,IGUALDAD Y EQUIDAD,12180276029060,1334049971653.91,155158407116.57,61342227839.57,1.27,2024
4,CULTURA,1466918962699,111850604717.54,4775523676.55,3743293688.55,0.33,2024
5,SALUD Y PROTECCION SOCIAL,61487676663318,7337028088221.82,4642473296578.25,4398820661010.72,7.55,2024
6,AGRICULTURA Y DESARROLLO RURAL,9192590618809,1135817094086.26,24429916094.78,11329024962.51,0.27,2024
7,MINAS Y ENERGIA,12568394147436,525747896753.67,11939406376.46,10426918735.43,0.09,2024
8,TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,4012124063366,869107581034.54,31927967253.79,30682409348.85,0.8,2024
9,TRANSPORTE,17083376011650,1035029246664.63,63381003799.59,61704465182.95,0.37,2024
