Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
04/01/2008,Total establecimientos,CDT,107,A 90 días,9.75759411314824,118845.0691
04/01/2008,Total establecimientos,CDT,111,A 180 días,9.39855683082457,43257.02319
04/01/2008,Total establecimientos,CDT,113,A 360 días,8.65485263062274,3131.9409
04/02/2008,Total establecimientos,CDT,107,A 90 días,9.98616901376323,163320.1655
04/02/2008,Total establecimientos,CDT,111,A 180 días,9.76675764473147,72438.45762
04/02/2008,Total establecimientos,CDT,113,A 360 días,9.19759087820421,4895.21867
04/03/2008,Total establecimientos,CDT,107,A 90 días,10.2192944887066,211686.96016
04/03/2008,Total establecimientos,CDT,111,A 180 días,9.79613757512222,53238.36071
04/03/2008,Total establecimientos,CDT,113,A 360 días,11.4888025818315,23571.05392
04/04/2008,Total establecimientos,CDT,107,A 90 días,9.95877239152806,170063.29352
04/04/2008,Total establecimientos,CDT,111,A 180 días,8.59869369740746,29887.94442
04/04/2008,Total establecimientos,CDT,113,A 360 días,11.0600264978991,19293.54327
04/07/2008,Total establecimientos,CDT,107,A 90 días,9.33974327295181,107298.16461
04/07/2008,Total establecimientos,CDT,111,A 180 días,9.82094092318518,87175.08475
04/07/2008,Total establecimientos,CDT,113,A 360 días,9.47186816469034,9372.86287
04/08/2008,Total establecimientos,CDT,107,A 90 días,9.92700009921544,171413.00349
04/08/2008,Total establecimientos,CDT,111,A 180 días,9.75987310940929,63832.88009
04/08/2008,Total establecimientos,CDT,113,A 360 días,10.6637973665278,10261.78396
04/09/2008,Total establecimientos,CDT,107,A 90 días,9.9445861840389,204625.38201
04/09/2008,Total establecimientos,CDT,111,A 180 días,10.0588400424231,105759.1533
04/09/2008,Total establecimientos,CDT,113,A 360 días,9.56354114456944,6464.40179
04/10/2008,Total establecimientos,CDT,107,A 90 días,9.41611762321274,80499.51664
04/10/2008,Total establecimientos,CDT,111,A 180 días,9.93326691455524,72458.42331
04/10/2008,Total establecimientos,CDT,113,A 360 días,9.03801043583185,3623.95784
04/11/2008,Total establecimientos,CDT,107,A 90 días,9.92975534878552,176858.74314
04/11/2008,Total establecimientos,CDT,111,A 180 días,9.21132972138857,37841.35711
04/11/2008,Total establecimientos,CDT,113,A 360 días,10.7013301141872,18070.64332
04/14/2008,Total establecimientos,CDT,107,A 90 días,9.19271858787923,105074.23298
04/14/2008,Total establecimientos,CDT,111,A 180 días,9.38700905738404,71173.05508
04/14/2008,Total establecimientos,CDT,113,A 360 días,10.1576992018804,15000.51945
04/15/2008,Total establecimientos,CDT,107,A 90 días,9.41447092173382,90170.36995
04/15/2008,Total establecimientos,CDT,111,A 180 días,9.91345130097709,60216.18909
04/15/2008,Total establecimientos,CDT,113,A 360 días,10.6077593546808,10936.15023
04/16/2008,Total establecimientos,CDT,107,A 90 días,9.71341598674722,149503.17164
04/16/2008,Total establecimientos,CDT,111,A 180 días,9.8158995096963,91045.82868
04/16/2008,Total establecimientos,CDT,113,A 360 días,11.0590983131727,49476.40266
04/17/2008,Total establecimientos,CDT,107,A 90 días,9.51813843877323,93109.02319
04/17/2008,Total establecimientos,CDT,111,A 180 días,10.0302600836402,95511.91569
04/17/2008,Total establecimientos,CDT,113,A 360 días,10.6092668598696,15775.98458
04/18/2008,Total establecimientos,CDT,107,A 90 días,9.60292646960798,105882.34355
04/18/2008,Total establecimientos,CDT,111,A 180 días,8.92950083257328,29113.21622
04/18/2008,Total establecimientos,CDT,113,A 360 días,9.56515037259383,5897.17134
04/21/2008,Total establecimientos,CDT,107,A 90 días,9.50834998841564,148962.53442
04/21/2008,Total establecimientos,CDT,111,A 180 días,9.85129965512012,97408.00632
04/21/2008,Total establecimientos,CDT,113,A 360 días,9.57099540865655,8200.24129
04/22/2008,Total establecimientos,CDT,107,A 90 días,9.60619792435216,91355.59278
04/22/2008,Total establecimientos,CDT,111,A 180 días,10.1534041738729,105638.76626
04/22/2008,Total establecimientos,CDT,113,A 360 días,9.95841441159091,6777.21806
04/23/2008,Total establecimientos,CDT,107,A 90 días,9.75106267524069,140511.40048
04/23/2008,Total establecimientos,CDT,111,A 180 días,10.2150602952382,129148.76299
04/23/2008,Total establecimientos,CDT,113,A 360 días,10.7083814971363,28025.06255
04/24/2008,Total establecimientos,CDT,107,A 90 días,10.1182182944583,179238.12204
04/24/2008,Total establecimientos,CDT,111,A 180 días,9.87213008053475,66943.0604
04/24/2008,Total establecimientos,CDT,113,A 360 días,7.12091612651855,20485.57374
04/25/2008,Total establecimientos,CDT,107,A 90 días,9.71350761660303,111055.76863
04/25/2008,Total establecimientos,CDT,111,A 180 días,9.60639491868131,46123.7978
04/25/2008,Total establecimientos,CDT,113,A 360 días,10.1905902886425,17199.04378
04/28/2008,Total establecimientos,CDT,107,A 90 días,9.28096319422583,126399.48693
04/28/2008,Total establecimientos,CDT,111,A 180 días,9.53017566516651,77826.00887
04/28/2008,Total establecimientos,CDT,113,A 360 días,9.79571124679827,10116.02166
04/29/2008,Total establecimientos,CDT,107,A 90 días,10.1813873518504,251141.27569
04/29/2008,Total establecimientos,CDT,111,A 180 días,9.89436656349408,72344.44868
04/29/2008,Total establecimientos,CDT,113,A 360 días,10.2398329893541,9692.26355
04/30/2008,Total establecimientos,CDT,107,A 90 días,9.78239910230134,170245.11091
04/30/2008,Total establecimientos,CDT,111,A 180 días,9.99681156821781,116357.71978
04/30/2008,Total establecimientos,CDT,113,A 360 días,10.6443918170704,25002.25294
05/02/2008,Total establecimientos,CDT,107,A 90 días,8.45828222036276,46211.32266
