Fecha (dd/mm/aaaa),Orden del plazo,Plazo,Días plazo real,Tipo de aprobación,Tasa efectiva (%),Tasa nominal (%)
01/02/2008,1,Overnight,0,,9.498,8.95
01/03/2008,1,Overnight,0,,9.52,8.97
01/04/2008,1,Overnight,0,,9.495,8.951
01/08/2008,1,Overnight,0,,9.509,8.96
01/09/2008,1,Overnight,0,,9.52,8.97
01/10/2008,1,Overnight,0,,9.525,8.975
01/11/2008,1,Overnight,0,,9.526,8.978
01/14/2008,1,Overnight,0,,9.531,8.98
01/15/2008,1,Overnight,0,,9.52,8.97
01/16/2008,1,Overnight,0,,9.52,8.97
01/17/2008,1,Overnight,0,,9.529,8.978
01/18/2008,1,Overnight,0,,9.539,8.99
01/21/2008,1,Overnight,0,,9.544,8.992
01/22/2008,1,Overnight,0,,9.536,8.985
01/23/2008,1,Overnight,0,,9.531,8.98
01/24/2008,1,Overnight,0,,9.529,8.978
01/25/2008,1,Overnight,0,,9.512,8.965
01/28/2008,1,Overnight,0,,9.514,8.965
01/29/2008,1,Overnight,0,,9.505,8.957
01/30/2008,1,Overnight,0,,9.5,8.952
01/31/2008,1,Overnight,0,,9.503,8.955
02/01/2008,1,Overnight,0,,9.496,8.951
02/04/2008,1,Overnight,0,,9.508,8.959
02/05/2008,1,Overnight,0,,9.52,8.97
02/06/2008,1,Overnight,0,,9.529,8.978
02/07/2008,1,Overnight,0,,9.54,8.988
02/08/2008,1,Overnight,0,,9.542,8.992
02/11/2008,1,Overnight,0,,9.55,8.997
02/12/2008,1,Overnight,0,,9.553,9
02/13/2008,1,Overnight,0,,9.547,8.995
02/14/2008,1,Overnight,0,,9.545,8.993
02/15/2008,1,Overnight,0,,9.548,8.998
02/18/2008,1,Overnight,0,,9.569,9.014
02/19/2008,1,Overnight,0,,9.6,9.042
02/20/2008,1,Overnight,0,,9.612,9.053
02/21/2008,1,Overnight,0,,9.62,9.06
02/22/2008,1,Overnight,0,,9.622,9.064
02/25/2008,1,Overnight,0,,9.793,9.216
02/26/2008,1,Overnight,0,,9.795,9.218
02/27/2008,1,Overnight,0,,9.8,9.222
02/28/2008,1,Overnight,0,,9.808,9.229
02/29/2008,1,Overnight,0,,9.809,9.233
03/03/2008,1,Overnight,0,,9.821,9.241
03/04/2008,1,Overnight,0,,9.815,9.236
03/05/2008,1,Overnight,0,,9.827,9.246
03/06/2008,1,Overnight,0,,9.834,9.253
03/07/2008,1,Overnight,0,,9.835,9.256
03/10/2008,1,Overnight,0,,9.833,9.252
03/11/2008,1,Overnight,0,,9.831,9.25
03/12/2008,1,Overnight,0,,9.83,9.249
03/13/2008,1,Overnight,0,,9.819,9.239
03/14/2008,1,Overnight,0,,9.806,9.23
03/17/2008,1,Overnight,0,,9.803,9.225
03/18/2008,1,Overnight,0,,9.815,9.236
03/19/2008,1,Overnight,0,,9.789,9.218
03/25/2008,1,Overnight,0,,9.781,9.205
03/26/2008,1,Overnight,0,,9.792,9.215
03/27/2008,1,Overnight,0,,9.807,9.228
03/28/2008,1,Overnight,0,,9.808,9.232
03/31/2008,1,Overnight,0,,9.798,9.22
04/01/2008,1,Overnight,0,,9.798,9.22
04/02/2008,1,Overnight,0,,9.795,9.218
04/03/2008,1,Overnight,0,,9.79,9.213
04/04/2008,1,Overnight,0,,9.787,9.213
04/07/2008,1,Overnight,0,,9.786,9.21
04/08/2008,1,Overnight,0,,9.784,9.208
04/09/2008,1,Overnight,0,,9.784,9.208
04/10/2008,1,Overnight,0,,9.789,9.212
04/11/2008,1,Overnight,0,,9.786,9.212
04/14/2008,1,Overnight,0,,9.786,9.21
04/15/2008,1,Overnight,0,,9.781,9.205
