"Fecha","Porcentaje (%)"
"2008/01/02",9.498
"2008/01/03",9.52
"2008/01/04",9.495
"2008/01/08",9.509
"2008/01/09",9.52
"2008/01/10",9.525
"2008/01/11",9.526
"2008/01/14",9.531
"2008/01/15",9.52
"2008/01/16",9.52
"2008/01/17",9.529
"2008/01/18",9.539
"2008/01/21",9.544
"2008/01/22",9.536
"2008/01/23",9.531
"2008/01/24",9.529
"2008/01/25",9.512
"2008/01/28",9.514
"2008/01/29",9.505
"2008/01/30",9.5
"2008/01/31",9.503
"2008/02/01",9.496
"2008/02/04",9.508
"2008/02/05",9.52
"2008/02/06",9.529
"2008/02/07",9.54
"2008/02/08",9.542
"2008/02/11",9.55
"2008/02/12",9.553
"2008/02/13",9.547
"2008/02/14",9.545
"2008/02/15",9.548
"2008/02/18",9.569
"2008/02/19",9.6
"2008/02/20",9.612
"2008/02/21",9.62
"2008/02/22",9.622
"2008/02/25",9.793
"2008/02/26",9.795
"2008/02/27",9.8
"2008/02/28",9.808
"2008/02/29",9.809
"2008/03/03",9.821
"2008/03/04",9.815
"2008/03/05",9.827
"2008/03/06",9.834
"2008/03/07",9.835
"2008/03/10",9.833
"2008/03/11",9.831
"2008/03/12",9.83
"2008/03/13",9.819
"2008/03/14",9.806
"2008/03/17",9.803
"2008/03/18",9.815
"2008/03/19",9.789
"2008/03/25",9.781
"2008/03/26",9.792
"2008/03/27",9.807
"2008/03/28",9.808
"2008/03/31",9.798
"2008/04/01",9.798
"2008/04/02",9.795
"2008/04/03",9.79
"2008/04/04",9.787
"2008/04/07",9.786
"2008/04/08",9.784
"2008/04/09",9.784
"2008/04/10",9.789
"2008/04/11",9.786
"2008/04/14",9.786
"2008/04/15",9.781
"2008/04/16",9.785
"2008/04/17",9.788
"2008/04/18",9.789
"2008/04/21",9.796
"2008/04/22",9.803
"2008/04/23",9.805
"2008/04/24",9.81
"2008/04/25",9.794
"2008/04/28",9.773
"2008/04/29",9.763
"2008/04/30",9.777
"2008/05/02",9.783
"2008/05/06",9.788
"2008/05/07",9.79
"2008/05/08",9.807
"2008/05/09",9.807
"2008/05/12",9.812
"2008/05/13",9.815
"2008/05/14",9.815
"2008/05/15",9.818
"2008/05/16",9.813
"2008/05/19",9.817
"2008/05/20",9.819
"2008/05/21",9.819
"2008/05/22",9.82
"2008/05/23",9.804
"2008/05/27",9.807
"2008/05/28",9.809
"2008/05/29",9.81
"2008/05/30",9.807
"2008/06/03",9.807
"2008/06/04",9.804
"2008/06/05",9.8
"2008/06/06",9.795
"2008/06/09",9.801
"2008/06/10",9.803
"2008/06/11",9.804
"2008/06/12",9.804
"2008/06/13",9.804
"2008/06/16",9.805
"2008/06/17",9.805
"2008/06/18",9.803
"2008/06/19",9.804
"2008/06/20",9.799
"2008/06/23",9.804
"2008/06/24",9.804
"2008/06/25",9.804
"2008/06/26",9.805
"2008/06/27",9.8
"2008/07/01",9.804
"2008/07/02",9.805
"2008/07/03",9.805
"2008/07/04",9.803
"2008/07/07",9.807
"2008/07/08",9.808
"2008/07/09",9.81
"2008/07/10",9.811
"2008/07/11",9.808
"2008/07/14",9.811
"2008/07/15",9.81
"2008/07/16",9.808
"2008/07/17",9.809
"2008/07/18",9.804
"2008/07/21",9.804
"2008/07/22",9.804
"2008/07/23",9.804
"2008/07/24",9.804
"2008/07/25",9.801
"2008/07/28",10.044
"2008/07/29",10.038
"2008/07/30",10.041
"2008/07/31",10.036
"2008/08/01",10.031
"2008/08/04",10.035
"2008/08/05",10.041
"2008/08/06",10.031
"2008/08/08",10.032
