Fecha(dd/mm/aaaa),Piso (COP/USD),Punto medio (COP/USD),Techo (COP/USD)
1994-01-24,"759,2","816,34","873,49"
1994-01-25,"759,52","816,69","873,86"
1994-01-26,"759,84","817,03","874,22"
1994-01-27,"760,16","817,37","874,59"
1994-01-28,"760,48","817,72","874,96"
1994-01-31,"760,8","818,06","875,33"
1994-02-01,"761,12","818,41","875,7"
1994-02-02,"761,44","818,75","876,06"
1994-02-03,"761,76","819,1","876,43"
1994-02-04,"762,08","819,44","876,8"
1994-02-07,"762,4","819,79","877,17"
1994-02-08,"762,72","820,13","877,54"
1994-02-09,"763,04","820,48","877,91"
1994-02-10,"763,36","820,82","878,28"
1994-02-11,"763,69","821,17","878,65"
1994-02-14,"764,01","821,51","879,02"
1994-02-15,"764,33","821,86","879,39"
1994-02-16,"764,65","822,2","879,76"
1994-02-17,"764,97","822,55","880,13"
1994-02-18,"765,29","822,9","880,5"
1994-02-21,"765,62","823,24","880,87"
1994-02-22,"765,94","823,59","881,24"
1994-02-23,"766,26","823,94","881,61"
1994-02-24,"766,58","824,25","881,98"
1994-02-25,"766,91","824,63","882,35"
1994-02-28,"767,23","824,98","882,73"
1994-03-01,"767,55","825,32","883,1"
1994-03-02,"767,87","825,67","883,47"
1994-03-03,"768,2","826,02","883,84"
1994-03-04,"768,52","826,37","884,21"
1994-03-07,"768,84","826,71","884,58"
1994-03-08,"769,17","827,06","884,96"
1994-03-09,"769,49","827,41","885,33"
1994-03-10,"769,82","827,76","885,7"
1994-03-11,"770,14","828,11","886,07"
1994-03-14,"770,46","828,46","886,45"
1994-03-15,"770,79","828,8","886,82"
1994-03-16,"771,11","829,15","887,57"
1994-03-17,"771,44","829,5","887,57"
1994-03-18,"771,76","829,85","887,94"
1994-03-22,"772,09","830,2","888,31"
1994-03-23,"772,41","830,55","888,69"
1994-03-24,"772,74","830,9","889,06"
1994-03-25,"773,06","831,25","889,44"
1994-03-28,"773,06","831,6","889,91"
1994-03-29,"773,71","831,95","890,19"
1994-03-30,"774,04","832,3","890,56"
1994-04-04,"774,36","832,65","890,94"
1994-04-05,"774,69",833,"891,31"
1994-04-06,"775,02","833,35","891,69"
1994-04-07,"775,34","833,7","892,06"
1994-04-08,"775,67","834,05","892,44"
1994-04-11,776,"834,4","892,81"
1994-04-12,"776,32","834,75","893,19"
1994-04-13,"776,65","835,11","893,56"
1994-04-14,"776,98","835,46","893,94"
1994-04-15,"777,3","835,81","894,32"
1994-04-18,"777,63","836,16","894,69"
1994-04-19,"777,96","836,51","895,07"
1994-04-20,"778,28","836,86","895,45"
1994-04-21,"778,61","837,22","895,82"
1994-04-22,"778,94","837,57","896,2"
1994-04-25,"779,27","837,92","896,58"
1994-04-26,"779,6","838,27","896,95"
1994-04-27,"779,92","838,63","897,33"
1994-04-28,"780,25","838,98","897,71"
