TIPO_ENTIDAD,COD_ENTIDAD,RAZON_SOCIAL,DIRECCION,CIUDAD,NUMEROIDENTIFICACION,NOMBREPUBLICOCARGO,REPRESENTANTE_LEGAL,EMAILPRINCIPAL,URIPAGINAWEB
11,10,WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS S.A.,"Avenida 19 No. 95-20, Piso 16 Edificio Torre Sigma",BOGOTÁ D.C.,8909016044,Presidente,MARGARITA MARÍA LÓPEZ RAMÍREZ,margarita.lopez@wtwco.com,Pendiente
5,12,FIDUCIARIA LA PREVISORA S.A. la cual podrá usar la sigla FIDUPREVISORA S.A.,"Calle 72 No. 10-03 Pisos 4, 5, 8 y 9",BOGOTÁ D.C.,8605251485,Presidente,MAGDA LORENA GIRALDO PARRA,servicioalcliente@fiduprevisora.com.co,www.fiduprevisora.com.co
13,29,SEGUROS DEL ESTADO S.A.,"Auto. Norte, Cra 45, No.103-60, Edif. Amadeus,Piso 5, Barrio Santa Bibiana",BOGOTÁ D.C.,8600095786,Presidente,HUMBERTO  MORA ESPINOSA,juridico@segurosdelestado.com,Pendiente
14,19,SEGUROS DE VIDA DEL ESTADO S.A.,"Auto. Norte, Cra 45, No.103-60, Edif. Amadeus,Piso 5, Barrio Santa Bibiana",BOGOTÁ D.C.,8600091744,Presidente,HUMBERTO  MORA ESPINOSA,juridico@segurosdelestado.com,Pendiente
13,52,QUÁLITAS COMPAÑÍA DE SEGUROS COLOMBIA S.A.,Avenida Pepe Sierra  No. 18 - 82,BOGOTÁ D.C.,9018490375,Presidente,MARÍA ANTONIETA REYES VERA,correspondencia@qualitascolombia.com.co,Pendiente
22,6,EMPRESA NACIONAL PROMOTORA DEL DESARROLLO TERRITORIAL S.A. y podrá también usar la sigla ENTerritorio S.A.,Calle 26 No.13-19 Pisos 1- 20 a 22 Edificio Fonade,BOGOTÁ D.C.,8999993161,Presidente,LINA MARÍA BARRERA RUEDA,fonade@fonade.gov.co,Pendiente
1,1,BANCO DE BOGOTÁ S.A.,Calle 36 No. 7 - 47.,BOGOTÁ D.C.,8600029644,Presidente,CÉSAR PRADO VILLEGAS,rjudicial@bancodebogota.com.co,www.bancodebogota.com.co
1,2,BANCO POPULAR S.A.,Calle 17 No. 7 - 35 piso 1,BOGOTÁ D.C.,8600077389,Presidente,MARÍA FERNANDA SUÁREZ LONDOÑO,presidencia@bancopopular.com.co,www.bancopopular.com.co
1,7,"BANCOLOMBIA S.A. podrá girar también con la denominación social Banco de Colombia S.A., pudiendo identificar sus establecimientos de comercio, productos y servicios, con el nombre comercial de BANCOLOMBIA",Carrera 48 No.26-85 Avenida los Industriales.,MEDELLIN,8909039388,Presidente,JUAN CARLOS MORA URIBE,gciari@bancolombia.com.co,www.bancolombia.com.co
1,9,CITIBANK-COLOMBIA Podrá utilizar solamente la expresión CITIBANK,Carrera 9 A No. 99-02 Piso 3,BOGOTÁ D.C.,8600511354,Presidente,ELIZABETH REY DÍAZ,legalnotificaciones@citi.com,Pendiente
1,12,"BANCO GNB SUDAMERIS S.A. quien podrá utilizar el nombre BANCO GNB SUDAMERIS o SUDAMERIS, seguidos o no de las expresiones sociedad anónima o la sigla S.A.",Carrera 7 No. 75 - 85/87,BOGOTÁ D.C.,8600507501,Presidente,RICARDO DÍAZ ROMERO,jecortes@gnbsudameris.com.co,www.gnbsudameris.com.co
1,13,"BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. pudiendo utilizar indistintamente, para todos los efectos legales, el nombre BBVA Colombia.",Carrera 9 No. 72-21,BOGOTÁ D.C.,8600030201,Presidente Ejecutivo,MARIO PARDO BAYONA,notifica.co@bbva.com,www.bbva.com.co
1,23,BANCO DE OCCIDENTE,Carrera 13 No. 27-47,BOGOTÁ D.C.,8903002794,Presidente,GERARDO JOSÉ SILVA CASTRO,djuridica@bancodeoccidente.com.co,www.bancodeccidente.com.co
1,30,BANCO CAJA SOCIAL S.A.y podrá usar el nombre BANCO CAJA SOCIAL,Carrera 7 No. 77-65 Torre Colmena,BOGOTÁ D.C.,8600073354,Presidente,DIEGO FERNANDO PRIETO RIVERA,contactenos@bancocajasocial.com,Pendiente
1,39,BANCO DAVIVIENDA S.A. o BANCO DAVIVIENDA,Avenida El Dorado No. 68 B 31 Piso 1,BOGOTÁ D.C.,8600343137,Presidente,JAVIER JOSÉ SUÁREZ ESPARRAGOZA,notificacionesjudiciales@davivienda.co,Pendiente
