,,,,,,,,
,Fecha,Indice,Valor Hoy,Valor Ayer,Variacion %,VariaciÃ³n Absoluta,Variacion 12 meses,VariaciÃ³n Anual
,20071228,MSCI COLCAP,"1,062.90","1,059.68",.00,3.22,.00,.00
,20080104,MSCI COLCAP,"1,000.00","1,000.00",.00,.00,-5.92,.00
,20080111,MSCI COLCAP,"1,000.00","1,000.00",.00,.00,-5.92,.00
,20080114,MSCI COLCAP,"1,000.00","1,000.00",.00,.00,-5.92,.00
,20080115,MSCI COLCAP,980.21,"1,000.00",-1.98,-19.79,-7.78,-7.78
,20080116,MSCI COLCAP,958.99,980.21,-2.16,-21.22,-9.78,-9.78
,20080117,MSCI COLCAP,928.38,958.99,-3.19,-30.61,-12.66,-12.66
,20080118,MSCI COLCAP,903.49,928.38,-2.68,-24.89,-15.00,-15.00
,20080121,MSCI COLCAP,832.37,903.49,-7.87,-71.12,-21.69,-21.69
,20080122,MSCI COLCAP,879.67,832.37,5.68,47.30,-17.24,-17.24
,20080123,MSCI COLCAP,890.89,879.67,1.28,11.23,-16.18,-16.18
,20080124,MSCI COLCAP,933.79,890.89,4.81,42.89,-12.15,-12.15
,20080125,MSCI COLCAP,939.61,933.79,.62,5.82,-11.60,-11.60
,20080128,MSCI COLCAP,930.97,939.61,-.92,-8.63,-12.41,-12.41
,20080129,MSCI COLCAP,946.51,930.97,1.67,15.54,-10.95,-10.95
,20080130,MSCI COLCAP,936.55,946.51,-1.05,-9.96,-11.89,-11.89
,20080131,MSCI COLCAP,937.33,936.55,.08,.77,-11.81,-11.81
,20080201,MSCI COLCAP,938.16,937.33,.09,.83,-11.74,-11.74
,20080204,MSCI COLCAP,945.18,938.16,.75,7.03,-11.07,-11.07
,20080205,MSCI COLCAP,920.47,945.18,-2.61,-24.71,-13.40,-13.40
,20080206,MSCI COLCAP,900.89,920.47,-2.13,-19.58,-15.24,-15.24
,20080207,MSCI COLCAP,891.30,900.89,-1.06,-9.59,-16.14,-16.14
,20080208,MSCI COLCAP,906.03,891.30,1.65,14.72,-14.76,-14.76
,20080211,MSCI COLCAP,920.78,906.03,1.63,14.75,-13.37,-13.37
,20080212,MSCI COLCAP,915.74,920.78,-.55,-5.04,-13.85,-13.85
,20080213,MSCI COLCAP,918.85,915.74,.34,3.11,-13.55,-13.55
,20080214,MSCI COLCAP,928.67,918.85,1.07,9.82,-12.63,-12.63
,20080215,MSCI COLCAP,929.63,928.67,.10,.96,-12.54,-12.54
,20080218,MSCI COLCAP,944.25,929.63,1.57,14.61,-11.16,-11.16
,20080219,MSCI COLCAP,945.40,944.25,.12,1.15,-11.05,-11.05
,20080220,MSCI COLCAP,941.38,945.40,-.42,-4.02,-11.43,-11.43
,20080221,MSCI COLCAP,944.38,941.38,.32,3.00,-11.15,-11.15
,20080222,MSCI COLCAP,940.05,944.38,-.46,-4.33,-11.56,-11.56
,20080225,MSCI COLCAP,938.49,940.05,-.17,-1.57,-11.70,-11.70
,20080226,MSCI COLCAP,938.58,938.49,.01,.09,-11.70,-11.70
,20080227,MSCI COLCAP,935.15,938.58,-.36,-3.43,-12.02,-12.02
,20080228,MSCI COLCAP,931.03,935.15,-.44,-4.12,-12.41,-12.41
,20080229,MSCI COLCAP,914.90,931.03,-1.73,-16.13,-13.92,-13.92
,20080303,MSCI COLCAP,896.73,914.90,-1.99,-18.17,-15.63,-15.63
,20080304,MSCI COLCAP,859.79,896.73,-4.12,-36.94,-19.11,-19.11
,20080305,MSCI COLCAP,897.61,859.79,4.40,37.82,-15.55,-15.55
,20080306,MSCI COLCAP,889.83,897.61,-.87,-7.78,-16.28,-16.28
,20080307,MSCI COLCAP,900.79,889.83,1.23,10.96,-15.25,-15.25
,20080310,MSCI COLCAP,907.83,900.79,.78,7.04,-14.59,-14.59
,20080311,MSCI COLCAP,911.72,907.83,.43,3.89,-14.22,-14.22
,20080312,MSCI COLCAP,914.89,911.72,.35,3.18,-13.92,-13.92
,20080313,MSCI COLCAP,912.74,914.89,-.23,-2.15,-14.13,-14.13
,20080314,MSCI COLCAP,902.13,912.74,-1.16,-10.62,-15.13,-15.13
,20080317,MSCI COLCAP,890.57,902.13,-1.28,-11.55,-16.21,-16.21
,20080318,MSCI COLCAP,899.67,890.57,1.02,9.10,-15.36,-15.36
,20080319,MSCI COLCAP,902.56,899.67,.32,2.89,-15.09,-15.09
,20080325,MSCI COLCAP,895.08,902.56,-.83,-7.48,-15.79,-15.79
,20080326,MSCI COLCAP,891.73,895.08,-.37,-3.35,-16.10,-16.10
,20080327,MSCI COLCAP,887.89,891.73,-.43,-3.84,-16.47,-16.47
,20080328,MSCI COLCAP,890.03,887.89,.24,2.14,-16.26,-16.26
,20080331,MSCI COLCAP,889.28,890.03,-.08,-.74,-16.33,-16.33
,20080401,MSCI COLCAP,913.73,889.28,2.75,24.45,-14.03,-14.03
,20080402,MSCI COLCAP,919.30,913.73,.61,5.57,-13.51,-13.51
,20080403,MSCI COLCAP,923.04,919.30,.41,3.74,-13.16,-13.16
,20080404,MSCI COLCAP,922.00,923.04,-.11,-1.04,-13.26,-13.26
,20080407,MSCI COLCAP,928.32,922.00,.69,6.32,-12.66,-12.66
,20080408,MSCI COLCAP,930.57,928.32,.24,2.25,-12.45,-12.45
,20080409,MSCI COLCAP,936.53,930.57,.64,5.95,-11.89,-11.89
,20080410,MSCI COLCAP,922.05,936.53,-1.55,-14.47,-13.25,-13.25
,20080411,MSCI COLCAP,917.73,922.05,-.47,-4.32,-13.66,-13.66
,20080414,MSCI COLCAP,917.57,917.73,-.02,-.16,-13.67,-13.67
,20080415,MSCI COLCAP,931.61,917.57,1.53,14.04,-12.35,-12.35
,20080416,MSCI COLCAP,936.55,931.61,.53,4.93,-11.89,-11.89
,20080417,MSCI COLCAP,934.66,936.55,-.20,-1.89,-12.07,-12.07
,20080418,MSCI COLCAP,952.82,934.66,1.94,18.16,-10.36,-10.36
,20080421,MSCI COLCAP,953.25,952.82,.05,.43,-10.32,-10.32
,20080422,MSCI COLCAP,950.97,953.25,-.24,-2.28,-10.53,-10.53
,20080423,MSCI COLCAP,942.21,950.97,-.92,-8.76,-11.35,-11.35
,20080424,MSCI COLCAP,949.52,942.21,.78,7.30,-10.67,-10.67
,20080425,MSCI COLCAP,953.07,949.52,.37,3.55,-10.33,-10.33
,20080428,MSCI COLCAP,962.40,953.07,.98,9.33,-9.45,-9.45
,20080429,MSCI COLCAP,969.11,962.40,.70,6.70,-8.82,-8.82
,20080430,MSCI COLCAP,985.95,969.11,1.74,16.84,-7.24,-7.24
,20080502,MSCI COLCAP,"1,012.31",985.95,2.67,26.36,-4.76,-4.76
,20080506,MSCI COLCAP,"1,032.08","1,012.31",1.95,19.77,-2.90,-2.90
,20080507,MSCI COLCAP,"1,010.96","1,032.08",-2.05,-21.12,-4.89,-4.89
,20080508,MSCI COLCAP,"1,001.24","1,010.96",-.96,-9.72,-5.80,-5.80
,20080509,MSCI COLCAP,"1,008.49","1,001.24",.72,7.25,-5.12,-5.12
,20080512,MSCI COLCAP,"1,010.27","1,008.49",.18,1.78,-4.95,-4.95
,20080513,MSCI COLCAP,"1,015.63","1,010.27",.53,5.36,-4.45,-4.45
,20080514,MSCI COLCAP,"1,027.74","1,015.63",1.19,12.11,-3.31,-3.31
,20080515,MSCI COLCAP,"1,024.58","1,027.74",-.31,-3.17,-3.61,-3.61
,20080516,MSCI COLCAP,"1,016.11","1,024.58",-.83,-8.47,-4.40,-4.40
,20080519,MSCI COLCAP,"1,016.10","1,016.11",.00,-.01,-4.40,-4.40
,20080520,MSCI COLCAP,"1,009.48","1,016.10",-.65,-6.61,-5.03,-5.03
,20080521,MSCI COLCAP,"1,015.60","1,009.48",.61,6.12,-4.45,-4.45
,20080522,MSCI COLCAP,"1,008.67","1,015.60",-.68,-6.94,-5.10,-5.10
,20080523,MSCI COLCAP,"1,003.07","1,008.67",-.55,-5.60,-5.63,-5.63
,20080527,MSCI COLCAP,999.50,"1,003.07",-.36,-3.58,-5.96,-5.96
,20080528,MSCI COLCAP,"1,000.23",999.50,.07,.73,-5.90,-5.90
,20080529,MSCI COLCAP,"1,010.15","1,000.23",.99,9.92,-4.96,-4.96
,20080530,MSCI COLCAP,"1,019.78","1,010.15",.95,9.63,-4.06,-4.06
,20080603,MSCI COLCAP,"1,004.80","1,019.78",-1.47,-14.98,-5.47,-5.47
,20080604,MSCI COLCAP,"1,015.92","1,004.80",1.11,11.12,-4.42,-4.42
,20080605,MSCI COLCAP,"1,015.36","1,015.92",-.05,-.56,-4.47,-4.47
,20080606,MSCI COLCAP,"1,013.73","1,015.36",-.16,-1.63,-4.63,-4.63
,20080609,MSCI COLCAP,"1,004.28","1,013.73",-.93,-9.45,-5.52,-5.52
,20080610,MSCI COLCAP,990.50,"1,004.28",-1.37,-13.78,-6.81,-6.81
,20080611,MSCI COLCAP,989.39,990.50,-.11,-1.11,-6.92,-6.92
,20080612,MSCI COLCAP,990.29,989.39,.09,.90,-6.83,-6.83
,20080613,MSCI COLCAP,991.85,990.29,.16,1.56,-6.68,-6.68
,20080616,MSCI COLCAP,991.66,991.85,-.02,-.19,-6.70,-6.70
,20080617,MSCI COLCAP,979.84,991.66,-1.19,-11.81,-7.81,-7.81
,20080618,MSCI COLCAP,972.13,979.84,-.79,-7.71,-8.54,-8.54
,20080619,MSCI COLCAP,941.47,972.13,-3.15,-30.66,-11.42,-11.42
,20080620,MSCI COLCAP,959.27,941.47,1.89,17.80,-9.75,-9.75
,20080623,MSCI COLCAP,959.13,959.27,-.01,-.14,-9.76,-9.76
,20080624,MSCI COLCAP,956.22,959.13,-.30,-2.91,-10.04,-10.04
,20080625,MSCI COLCAP,956.14,956.22,-.01,-.08,-10.04,-10.04
,20080626,MSCI COLCAP,942.99,956.14,-1.38,-13.15,-11.28,-11.28
,20080627,MSCI COLCAP,945.31,942.99,.25,2.32,-11.06,-11.06
,20080701,MSCI COLCAP,924.70,945.31,-2.18,-20.60,-13.00,-13.00
,20080702,MSCI COLCAP,924.47,924.70,-.02,-.23,-13.02,-13.02
,20080703,MSCI COLCAP,938.44,924.47,1.51,13.96,-11.71,-11.71
,20080704,MSCI COLCAP,943.76,938.44,.57,5.32,-11.21,-11.21
,20080707,MSCI COLCAP,936.94,943.76,-.72,-6.82,-11.85,-11.85
,20080708,MSCI COLCAP,925.66,936.94,-1.20,-11.27,-12.91,-12.91
,20080709,MSCI COLCAP,932.35,925.66,.72,6.69,-12.28,-12.28
,20080710,MSCI COLCAP,929.81,932.35,-.27,-2.54,-12.52,-12.52
,20080711,MSCI COLCAP,917.54,929.81,-1.32,-12.27,-13.68,-13.68
,20080714,MSCI COLCAP,915.40,917.54,-.23,-2.15,-13.88,-13.88
,20080715,MSCI COLCAP,901.61,915.40,-1.51,-13.79,-15.17,-15.17
,20080716,MSCI COLCAP,900.00,901.61,-.18,-1.61,-15.33,-15.33
,20080717,MSCI COLCAP,909.83,900.00,1.09,9.84,-14.40,-14.40
,20080718,MSCI COLCAP,911.32,909.83,.16,1.48,-14.26,-14.26
,20080721,MSCI COLCAP,919.19,911.32,.86,7.88,-13.52,-13.52
,20080722,MSCI COLCAP,917.09,919.19,-.23,-2.10,-13.72,-13.72
,20080723,MSCI COLCAP,922.51,917.09,.59,5.43,-13.21,-13.21
,20080724,MSCI COLCAP,926.07,922.51,.39,3.56,-12.87,-12.87
,20080725,MSCI COLCAP,932.59,926.07,.70,6.52,-12.26,-12.26
,20080728,MSCI COLCAP,921.94,932.59,-1.14,-10.65,-13.26,-13.26
,20080729,MSCI COLCAP,923.17,921.94,.13,1.23,-13.15,-13.15
,20080730,MSCI COLCAP,935.39,923.17,1.32,12.22,-12.00,-12.00
,20080731,MSCI COLCAP,944.87,935.39,1.01,9.48,-11.10,-11.10
,20080801,MSCI COLCAP,943.23,944.87,-.17,-1.64,-11.26,-11.26
,20080804,MSCI COLCAP,935.98,943.23,-.77,-7.25,-11.94,-11.94
,20080805,MSCI COLCAP,937.00,935.98,.11,1.02,-11.84,-11.84
,20080806,MSCI COLCAP,931.61,937.00,-.57,-5.38,-12.35,-12.35
,20080808,MSCI COLCAP,937.26,931.61,.61,5.65,-11.82,-11.82
,20080811,MSCI COLCAP,937.96,937.26,.08,.70,-11.75,-11.75
,20080812,MSCI COLCAP,934.12,937.96,-.41,-3.84,-12.12,-12.12
,20080813,MSCI COLCAP,939.69,934.12,.60,5.56,-11.59,-11.59
,20080814,MSCI COLCAP,938.25,939.69,-.15,-1.44,-11.73,-11.73
,20080815,MSCI COLCAP,944.90,938.25,.71,6.65,-11.10,-11.10
,20080819,MSCI COLCAP,941.02,944.90,-.41,-3.88,-11.47,-11.47
,20080820,MSCI COLCAP,948.72,941.02,.82,7.70,-10.74,-10.74
,20080821,MSCI COLCAP,955.50,948.72,.71,6.78,-10.10,-10.10
,20080822,MSCI COLCAP,955.72,955.50,.02,.21,-10.08,-10.08
,20080825,MSCI COLCAP,950.33,955.72,-.56,-5.39,-10.59,-10.59
,20080826,MSCI COLCAP,952.62,950.33,.24,2.30,-10.37,-10.37
,20080827,MSCI COLCAP,956.43,952.62,.40,3.81,-10.02,-10.02
,20080828,MSCI COLCAP,978.39,956.43,2.30,21.96,-7.95,-7.95
,20080829,MSCI COLCAP,992.25,978.39,1.42,13.86,-6.65,-6.65
,20080901,MSCI COLCAP,"1,025.10",992.25,3.31,32.84,-3.56,-3.56
,20080902,MSCI COLCAP,"1,022.45","1,025.10",-.26,-2.64,-3.81,-3.81
,20080903,MSCI COLCAP,"1,017.24","1,022.45",-.51,-5.21,-4.30,-4.30
,20080904,MSCI COLCAP,"1,005.96","1,017.24",-1.11,-11.28,-5.36,-5.36
,20080905,MSCI COLCAP,998.95,"1,005.96",-.70,-7.01,-6.02,-6.02
,20080908,MSCI COLCAP,"1,010.74",998.95,1.18,11.80,-4.91,-4.91
,20080909,MSCI COLCAP,"1,010.52","1,010.74",-.02,-.23,-4.93,-4.93
,20080910,MSCI COLCAP,"1,012.76","1,010.52",.22,2.25,-4.72,-4.72
,20080911,MSCI COLCAP,"1,025.82","1,012.76",1.29,13.06,-3.49,-3.49
,20080912,MSCI COLCAP,"1,023.76","1,025.82",-.20,-2.06,-3.68,-3.68
,20080915,MSCI COLCAP,"1,003.92","1,023.76",-1.94,-19.84,-5.55,-5.55
,20080916,MSCI COLCAP,967.46,"1,003.92",-3.63,-36.47,-8.98,-8.98
,20080917,MSCI COLCAP,950.39,967.46,-1.76,-17.06,-10.58,-10.58
,20080918,MSCI COLCAP,949.69,950.39,-.07,-.70,-10.65,-10.65
,20080919,MSCI COLCAP,985.09,949.69,3.73,35.39,-7.32,-7.32
,20080922,MSCI COLCAP,983.04,985.09,-.21,-2.04,-7.51,-7.51
,20080923,MSCI COLCAP,963.83,983.04,-1.95,-19.21,-9.32,-9.32
,20080924,MSCI COLCAP,976.22,963.83,1.29,12.39,-8.15,-8.15
,20080925,MSCI COLCAP,989.68,976.22,1.38,13.46,-6.89,-6.89
,20080926,MSCI COLCAP,983.87,989.68,-.59,-5.81,-7.44,-7.44
,20080929,MSCI COLCAP,960.91,983.87,-2.33,-22.96,-9.60,-9.60
,20080930,MSCI COLCAP,973.53,960.91,1.31,12.63,-8.41,-8.41
,20081001,MSCI COLCAP,975.83,973.53,.24,2.29,-8.19,-8.19
,20081002,MSCI COLCAP,965.86,975.83,-1.02,-9.97,-9.13,-9.13
,20081003,MSCI COLCAP,966.14,965.86,.03,.29,-9.10,-9.10
,20081006,MSCI COLCAP,921.90,966.14,-4.58,-44.24,-13.27,-13.27
,20081007,MSCI COLCAP,915.05,921.90,-.74,-6.86,-13.91,-13.91
,20081008,MSCI COLCAP,888.02,915.05,-2.95,-27.03,-16.45,-16.45
,20081009,MSCI COLCAP,868.42,888.02,-2.21,-19.60,-18.30,-18.30
,20081010,MSCI COLCAP,794.28,868.42,-8.54,-74.15,-25.27,-25.27
,20081014,MSCI COLCAP,866.75,794.28,9.12,72.47,-18.45,-18.45
,20081015,MSCI COLCAP,815.07,866.75,-5.96,-51.68,-23.32,-23.32
,20081016,MSCI COLCAP,782.85,815.07,-3.95,-32.21,-26.35,-26.35
,20081017,MSCI COLCAP,805.00,782.85,2.83,22.15,-24.26,-24.26
,20081020,MSCI COLCAP,811.15,805.00,.76,6.15,-23.68,-23.68
,20081021,MSCI COLCAP,808.09,811.15,-.38,-3.06,-23.97,-23.97
