PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20251148;11;2025;8403081;1;2;1;70;;2;679.99660447;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403081;1;4;1;70;;2;679.99660447;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403082;1;2;1;70;;2;266.15742728;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403084;1;3;1;70;;2;555.77943504;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403087;1;2;1;70;;1;3314.1603233;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403089;1;2;1;70;;1;2920.2791737;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403092;1;2;1;70;;1;2755.084326;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403092;1;3;1;70;;1;2755.084326;08;1;;;;;;;;;1;;24;2;3;1;10;2;2;;2;;.;3343;64;6422
20251148;11;2025;8403093;1;2;1;70;;1;2626.9828102;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403094;1;1;1;70;;1;1893.4617459;08;1;;;;;;;;;1;;300;1;5;1;9;2;3;;2;;.;8160;94;9411
20251148;11;2025;8403096;1;3;1;70;;1;2068.0445751;08;;1;52;1;;;;40;1423500;2;;;;;;;;2;;2;;5223;;;
20251148;11;2025;8403098;1;3;1;70;;1;2796.193632;08;;1;48;1;;;;48;1423500;1;;36;1;1;1;10;2;2;;2;;4110;4110;47;4773
20251148;11;2025;8403099;1;1;1;70;;1;2607.1267618;08;1;;;;;;;;;1;;240;1;1;1;6;2;2;;2;;.;9412;56;5611
20251148;11;2025;8403100;1;1;1;70;;1;2126.7271034;08;1;;;;;;;;;1;;86;4;5;2;10;2;3;;2;;.;2141;84;8422
20251148;11;2025;8403101;1;2;1;70;;1;2227.053597;08;1;;;;;;;;;1;;480;1;4;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403102;1;5;1;70;;1;2307.6007939;08;;1;24;2;;;;47;1423500;1;;24;1;8;1;6;2;2;;2;;0310;4321;93;9329
20251148;11;2025;8403102;1;6;1;70;;1;2307.6007939;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403103;1;2;1;70;;1;1967.7180815;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403104;1;1;1;70;;1;2508.7316266;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403104;1;3;1;70;;1;2508.7316266;08;;1;12;1;;;;48;1423500;1;;3;1;6;4;1;2;2;;2;;5223;7115;31;3110
20251148;11;2025;8403104;1;5;1;70;;1;2508.7316266;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403104;1;6;1;70;;1;2508.7316266;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403105;1;3;1;70;;1;1871.8292467;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403105;1;6;1;70;;1;1871.8292467;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403107;1;2;1;70;;2;2740.1048837;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403109;1;1;1;70;;2;2019.5795155;13;1;;;;;;;;;1;;6;0;4;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403110;1;2;1;70;;2;1963.773115;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403111;1;3;1;70;;2;3015.3939929;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403111;1;4;1;70;;2;3015.3939929;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403112;1;3;1;70;;2;2449.923199;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403113;1;1;1;70;;2;1541.0773944;13;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;6222;03;0312
20251148;11;2025;8403113;1;2;1;70;;2;1541.0773944;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403115;1;1;1;70;;2;1233.3487545;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403116;1;3;1;70;;2;2171.3798115;13;;1;72;1;;;;45;1423000;1;;18;0;8;1;5;2;2;;2;;5113;5113;79;7990
20251148;11;2025;8403116;1;4;1;70;;2;2171.3798115;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403117;1;1;1;70;;2;1963.773115;13;1;;;;;;;;;1;;12;0;3;1;7;2;2;;2;;.;4224;55;5511
20251148;11;2025;8403118;1;1;1;70;;2;1644.963829;13;1;;;;;;;;;1;;72;0;4;4;1;2;2;;2;;.;6222;03;0312
20251148;11;2025;8403119;1;1;1;70;;1;418.59538124;70;1;;;;;;;;;1;;360;0;3;1;3;2;2;;2;;.;1420;47;4774
20251148;11;2025;8403119;1;2;1;70;;1;418.59538124;70;1;;;;;1;;48;1423500;1;;84;0;8;1;2;2;2;;2;;.;4110;82;8219
20251148;11;2025;8403120;1;2;1;70;;1;387.29526711;70;1;;;;;1;;36;500000;1;;588;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403123;1;1;1;70;;1;515.97303169;70;1;;;;;2;4;;1400000;1;;12;0;3;4;1;2;2;;2;;.;3322;47;4792
20251148;11;2025;8403125;1;1;1;70;;1;387.29526711;70;1;;;;;2;5;;800000;1;;3;0;4;4;1;2;2;;2;;.;7411;43;4321
20251148;11;2025;8403125;1;2;1;70;;1;387.29526711;70;1;;;;;;;;;1;;150;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403126;1;1;1;70;;1;445.75655288;70;;1;10;3;;;;48;500000;1;;84;0;3;3;1;2;2;;2;;9111;9111;97;9700
20251148;11;2025;8403127;1;1;1;70;;1;572.85159282;70;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;9121;96;9601
20251148;11;2025;8403128;1;5;1;70;;1;660.51791417;70;;1;16;1;;;;60;1000000;1;;2;0;8;4;2;2;2;;2;;5414;9313;41;4111
20251148;11;2025;8403131;1;1;1;70;;2;837.92786826;70;1;;;;;;;;;1;;18;0;4;4;1;2;2;;2;;.;6114;01;0114
20251148;11;2025;8403132;1;1;1;70;;2;501.49852859;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403132;1;6;1;70;;2;501.49852859;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403134;1;1;1;70;;1;921.75243009;70;1;;;;;2;5;;700000;1;;36;0;3;4;2;2;2;;2;;.;5120;56;5611
20251148;11;2025;8403135;1;1;1;70;;2;539.05628492;70;1;;;;;;;;;1;;3;0;4;6;2;2;2;;2;;.;7516;01;0114
20251148;11;2025;8403138;1;4;1;70;;1;958.9974114;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403139;1;2;1;70;;2;771.08926178;70;1;;;;;;;;;1;;360;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403141;1;1;1;70;;1;558.12717499;70;1;;;;;;;;;1;;84;0;4;4;1;2;2;;2;;.;9121;96;9601
20251148;11;2025;8403141;1;2;1;70;;1;558.12717499;70;1;;;;;1;;48;800000;1;;36;0;4;1;3;2;2;;2;;.;5223;47;4773
20251148;11;2025;8403144;1;2;1;70;;2;817.0844691;70;1;;;;;1;;30;800000;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403145;1;1;1;70;;2;605.8948914;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403146;1;2;1;70;;2;1158.6411841;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403152;1;2;1;70;;2;1459.4712165;70;1;;;;;1;;44;1400000;1;;180;0;3;1;10;2;2;;2;;.;4415;06;0610
20251148;11;2025;8403153;1;2;1;70;;2;1383.9649532;70;1;;;;;;;;;1;;5;0;7;4;1;2;2;;2;;.;3322;47;4792
20251148;11;2025;8403153;1;4;1;70;;2;1383.9649532;70;1;;;;;;;;;1;;96;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403154;1;3;1;70;;2;1449.0666254;70;1;;;;;;;;;1;;360;0;4;4;1;2;2;;2;;.;6111;01;0113
20251148;11;2025;8403155;1;1;1;70;;2;836.0463325;70;1;;;;;;;;;1;;480;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403156;1;1;1;70;;2;1441.3368393;70;1;;;;;;;;;1;;240;0;3;1;10;2;2;;2;;.;5311;88;8891
20251148;11;2025;8403157;1;1;1;70;;2;2032.1266929;70;1;;;;;;;;;1;;48;0;4;4;1;2;2;;2;;.;6111;01;0113
20251148;11;2025;8403157;1;3;1;70;;2;2032.1266929;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403157;1;4;1;70;;2;2032.1266929;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403158;1;1;1;70;;2;1315.6061124;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403159;1;1;1;70;;1;289.99936227;70;1;;;;;1;;40;500000;1;;7;0;4;1;4;2;2;;2;;.;5223;47;4752
20251148;11;2025;8403159;1;3;1;70;;1;289.99936227;70;1;;;;;;;;;1;;12;0;6;7;4;2;2;;2;;.;9212;01;0141
20251148;11;2025;8403160;1;2;1;70;;1;363.21846943;70;1;;;;;;;;;1;;144;0;4;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403161;1;2;1;70;;1;363.21846943;70;1;;;;;;3;;1423500;1;;11;0;3;3;1;2;2;;2;;.;9111;97;9700
20251148;11;2025;8403162;1;1;1;70;;1;257.24157119;70;;1;3;4;;;;25;100000;1;;1;0;4;4;1;2;2;;2;;9211;9211;01;0161
20251148;11;2025;8403162;1;3;1;70;;1;257.24157119;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403163;1;1;1;70;;1;298.64338051;70;1;;;;;;3;;600000;1;;96;0;3;1;4;2;2;;2;;.;9412;56;5611
20251148;11;2025;8403163;1;5;1;70;;1;298.64338051;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403166;1;2;1;70;;1;311.31657085;70;1;;;;;;;;;1;;1;0;2;1;2;2;2;;2;;.;5223;47;4741
20251148;11;2025;8403167;1;3;1;70;;1;355.40588566;70;;1;2;1;;;;42;1600000;1;;0;2;6;4;2;2;2;;2;;8332;8332;49;4923
20251148;11;2025;8403170;1;5;1;70;;1;282.29001181;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251148;11;2025;8403171;1;2;1;70;;1;1039.7375527;70;1;;;;;;;;;1;;24;0;3;2;6;2;2;;2;;.;5321;86;8610
